aspect_value,n_piksela,postotak
1.0,59000,0.291072
3.0,98848,0.48766
5.0,97864,0.482805
7.0,97384,0.480437
9.0,97322,0.480131
11.0,97327,0.480156
13.0,97421,0.48062
15.0,96898,0.47804
17.0,98636,0.486614
19.0,100795,0.497265
21.0,101217,0.499347
23.0,101210,0.499313
25.0,101182,0.499174
27.0,102181,0.504103
29.0,101129,0.498913
31.0,101031,0.498429
33.0,100858,0.497576
35.0,102333,0.504853
37.0,103330,0.509771
39.0,106179,0.523827
41.0,109686,0.541128
43.0,112355,0.554296
45.0,125199,0.617661
47.0,120384,0.593906
49.0,120808,0.595998
51.0,120204,0.593018
53.0,118883,0.586501
55.0,118852,0.586348
57.0,119657,0.59032
59.0,119801,0.59103
61.0,118679,0.585495
63.0,118514,0.584681
65.0,119893,0.591484
67.0,119595,0.590014
69.0,120020,0.59211
71.0,120166,0.592831
73.0,121861,0.601193
75.0,121523,0.599525
77.0,122449,0.604094
79.0,123923,0.611366
81.0,127976,0.631361
83.0,136746,0.674627
85.0,148078,0.730533
87.0,133179,0.657029
89.0,126801,0.625564
91.0,140339,0.692353
93.0,121361,0.598726
95.0,121654,0.600172
97.0,119579,0.589935
99.0,118980,0.58698
101.0,117803,0.581173
103.0,117003,0.577226
105.0,117726,0.580793
107.0,119116,0.587651
109.0,121506,0.599441
111.0,123345,0.608514
113.0,123659,0.610063
115.0,123672,0.610127
117.0,126424,0.623704
119.0,128036,0.631657
121.0,128947,0.636151
123.0,125962,0.621425
125.0,124378,0.61361
127.0,121617,0.599989
129.0,119321,0.588662
131.0,117294,0.578662
133.0,116795,0.5762
135.0,126047,0.621844
137.0,115975,0.572155
139.0,115876,0.571666
141.0,114568,0.565213
143.0,113673,0.560798
145.0,112988,0.557419
147.0,112630,0.555652
149.0,112803,0.556506
151.0,112801,0.556496
153.0,112637,0.555687
155.0,112383,0.554434
157.0,112290,0.553975
159.0,111304,0.549111
161.0,112443,0.55473
163.0,112077,0.552924
165.0,113016,0.557557
167.0,114221,0.563501
169.0,115384,0.569239
171.0,117426,0.579313
173.0,134515,0.663621
175.0,128324,0.633078
177.0,115451,0.56957
179.0,112745,0.55622
181.0,136095,0.671415
183.0,109137,0.53842
185.0,107620,0.530936
187.0,106619,0.525998
189.0,105927,0.522584
191.0,105398,0.519974
193.0,105560,0.520773
195.0,105868,0.522292
197.0,107480,0.530245
199.0,111835,0.55173
201.0,109774,0.541562
203.0,108395,0.534759
205.0,107805,0.531849
207.0,116420,0.57435
209.0,106428,0.525055
211.0,105895,0.522426
213.0,107181,0.52877
215.0,106729,0.52654
217.0,108357,0.534572
219.0,111018,0.5477
221.0,114397,0.56437
223.0,118491,0.584567
225.0,137907,0.680355
227.0,123362,0.608598
229.0,122390,0.603803
231.0,119315,0.588632
233.0,118755,0.58587
235.0,119731,0.590685
237.0,119489,0.589491
239.0,119016,0.587157
241.0,117543,0.57989
243.0,119150,0.587818
245.0,117059,0.577503
247.0,116906,0.576748
249.0,116543,0.574957
251.0,119116,0.587651
253.0,116828,0.576363
255.0,116475,0.574621
257.0,116871,0.576575
259.0,119673,0.590399
261.0,124093,0.612204
263.0,138162,0.681613
265.0,128448,0.633689
267.0,117754,0.580931
269.0,124111,0.612293
271.0,110459,0.544942
273.0,109033,0.537907
275.0,108095,0.533279
277.0,107351,0.529609
279.0,105624,0.521089
281.0,105642,0.521178
283.0,104588,0.515978
285.0,105013,0.518074
287.0,107016,0.527956
289.0,107979,0.532707
291.0,108904,0.53727
293.0,108743,0.536476
295.0,109951,0.542436
297.0,111266,0.548923
299.0,112873,0.556851
301.0,111745,0.551286
303.0,109818,0.54178
305.0,108016,0.53289
307.0,106419,0.525011
309.0,103637,0.511286
311.0,102722,0.506772
313.0,101996,0.50319
315.0,120229,0.593142
317.0,102639,0.506362
319.0,101664,0.501552
321.0,100944,0.498
323.0,99375,0.49026
325.0,98829,0.487566
327.0,98308,0.484996
329.0,99047,0.488642
331.0,98486,0.485874
333.0,100365,0.495144
335.0,98153,0.484231
337.0,97210,0.479579
339.0,97500,0.48101
341.0,99928,0.492988
343.0,98544,0.48616
345.0,100050,0.49359
347.0,101283,0.499673
349.0,101953,0.502978
351.0,108245,0.534019
353.0,125381,0.618559
355.0,105964,0.522766
357.0,102977,0.50803
359.0,51307,0.25312
