fid,aspect,nagib
1,168.01116943359375,246.0
4,,250.0
5,,250.0
9,,250.0
11,,250.0
18,,250.0
25,,250.0
26,304.4381103515625,249.0
28,,250.0
30,32.15306091308594,249.0
40,,250.0
41,,250.0
42,,250.0
48,,250.0
69,,250.0
71,,250.0
80,,250.0
90,,250.0
103,53.671714782714844,249.0
110,2.6511306762695312,247.0
113,,250.0
116,50.74340057373047,249.0
126,,250.0
180,,250.0
283,129.4501953125,249.0
474,,250.0
481,,250.0
490,14.621253967285156,249.0
496,,250.0
513,,250.0
514,67.12599182128906,246.0
516,,250.0
517,,250.0
520,352.93572998046875,248.0
521,,250.0
522,,250.0
523,114.87301635742188,249.0
525,,250.0
526,,250.0
528,,250.0
529,,250.0
535,,250.0
540,,250.0
541,81.04389953613281,249.0
542,64.81690979003906,249.0
543,,250.0
544,,250.0
545,,250.0
546,,250.0
552,3.6901779174804688,246.0
556,69.56207275390625,249.0
557,34.66417694091797,247.0
562,,250.0
592,,250.0
