fid,aspect,nagib
1,336.6787414550781,248.0
2,,250.0
3,282.3580322265625,248.0
4,,250.0
5,50.01070785522461,247.0
6,276.11517333984375,247.0
7,,250.0
8,,250.0
9,64.90230560302734,233.0
10,,250.0
11,67.5186538696289,249.0
12,,250.0
13,,250.0
14,,250.0
15,,250.0
16,,250.0
17,,250.0
18,,250.0
19,,250.0
20,,250.0
21,223.1959991455078,249.0
22,,250.0
23,,250.0
24,,250.0
25,165.19943237304688,247.0
26,,250.0
27,,250.0
28,,250.0
29,,250.0
30,,250.0
31,54.90975570678711,248.0
32,,250.0
33,39.506927490234375,249.0
34,,250.0
35,,250.0
36,,250.0
37,,250.0
38,,250.0
39,,250.0
40,261.9549560546875,240.0
41,,250.0
42,,250.0
43,1.0360336303710938,233.0
44,,250.0
45,,250.0
46,,250.0
47,,250.0
48,139.97047424316406,249.0
49,,250.0
50,,250.0
51,250.2085723876953,244.0
52,,250.0
53,,250.0
54,,250.0
55,,250.0
56,162.89578247070312,244.0
57,,250.0
58,,250.0
59,194.67868041992188,249.0
60,101.88642120361328,249.0
61,,250.0
62,,250.0
63,178.6457977294922,248.0
64,,250.0
65,48.22367858886719,246.0
66,,250.0
67,,250.0
68,,250.0
69,317.24761962890625,248.0
70,244.6134033203125,234.0
71,,250.0
72,188.7286376953125,248.0
73,,250.0
74,251.90122985839844,246.0
75,,250.0
76,,250.0
77,,250.0
78,32.84943389892578,247.0
79,,250.0
80,,250.0
81,,250.0
82,,250.0
83,,250.0
84,,250.0
85,,250.0
86,,250.0
87,94.0801010131836,244.0
88,,250.0
89,,250.0
90,275.5845947265625,249.0
91,,250.0
92,,250.0
93,,250.0
94,,250.0
95,,250.0
96,,250.0
97,,250.0
98,246.35092163085938,242.0
99,194.5802001953125,249.0
100,,250.0
101,,250.0
102,233.1481170654297,242.0
103,,250.0
104,298.87738037109375,242.0
105,,250.0
106,,250.0
107,,250.0
108,,250.0
109,,250.0
110,,250.0
111,,250.0
112,,250.0
113,,250.0
114,,250.0
115,191.31954956054688,249.0
116,,250.0
117,88.35813903808594,247.0
118,122.12527465820312,249.0
119,,250.0
120,,250.0
121,,250.0
122,,250.0
123,,250.0
124,,250.0
125,,250.0
126,,250.0
127,64.57782745361328,249.0
128,84.74555969238281,249.0
129,308.48590087890625,248.0
130,,250.0
131,,250.0
132,,250.0
133,166.5101318359375,247.0
134,,250.0
135,,250.0
136,,250.0
137,,250.0
138,,250.0
139,,250.0
140,,250.0
141,197.864013671875,249.0
142,,250.0
143,,250.0
144,26.108665466308594,248.0
145,315.76837158203125,248.0
146,,250.0
147,179.3068084716797,248.0
148,,250.0
149,,250.0
150,247.66004943847656,242.0
151,,250.0
152,208.1226043701172,246.0
153,,250.0
154,,250.0
155,,250.0
156,,250.0
157,77.76260375976562,249.0
158,,250.0
159,,250.0
160,,250.0
161,,250.0
162,,250.0
163,,250.0
164,163.119140625,248.0
165,,250.0
166,342.7921142578125,248.0
167,,250.0
168,,250.0
169,,250.0
170,,250.0
171,,250.0
172,,250.0
173,,250.0
174,123.86361694335938,247.0
175,6.422019958496094,246.0
176,358.9322509765625,249.0
177,,250.0
178,,250.0
179,8.145370483398438,249.0
180,,250.0
181,,250.0
182,,250.0
183,,250.0
184,,250.0
185,,250.0
186,,250.0
187,189.8267059326172,243.0
188,281.7130126953125,236.0
189,97.61646270751953,246.0
190,357.65399169921875,249.0
191,184.19276428222656,242.0
192,,250.0
193,,250.0
194,,250.0
195,137.00637817382812,221.0
196,168.64776611328125,247.0
197,,250.0
198,,250.0
199,38.465919494628906,249.0
200,,250.0
201,56.11960220336914,240.0
202,,250.0
203,,250.0
204,,250.0
205,,250.0
206,,250.0
207,78.25141906738281,249.0
208,,250.0
209,,250.0
210,,250.0
211,,250.0
212,,250.0
213,,250.0
214,,250.0
215,,250.0
216,,250.0
217,85.61018371582031,249.0
218,161.61398315429688,245.0
219,348.1843566894531,249.0
220,147.94308471679688,249.0
221,,250.0
222,,250.0
223,115.38936614990234,249.0
224,,250.0
225,,250.0
226,,250.0
227,,250.0
228,,250.0
229,,250.0
230,,250.0
231,269.5010986328125,248.0
232,,250.0
233,108.00884246826172,248.0
234,201.53211975097656,249.0
235,,250.0
236,,250.0
237,,250.0
238,137.9845733642578,247.0
239,223.71685791015625,248.0
240,286.80596923828125,242.0
241,,250.0
242,,250.0
243,,250.0
244,163.8130645751953,243.0
245,,250.0
246,179.1245880126953,240.0
247,,250.0
248,,250.0
249,,250.0
250,,250.0
251,,250.0
252,250.06785583496094,249.0
253,,250.0
254,,250.0
255,44.904029846191406,249.0
256,,250.0
257,332.61126708984375,230.0
258,,250.0
259,163.05270385742188,246.0
260,107.6934814453125,247.0
261,,250.0
262,,250.0
263,,250.0
264,244.58602905273438,243.0
265,210.1243896484375,242.0
266,,250.0
267,292.77801513671875,237.0
268,359.042236328125,249.0
269,198.1511993408203,242.0
270,226.49136352539062,246.0
271,,250.0
272,,250.0
273,,250.0
274,,250.0
