fid,aspect,nagib
1,,250.0
2,,250.0
3,,250.0
4,,250.0
5,,250.0
6,58.04568862915039,248.0
7,,250.0
8,,250.0
9,,250.0
10,45.82365798950195,239.0
11,,250.0
12,34.857154846191406,241.0
13,245.00579833984375,249.0
14,,250.0
15,120.6424789428711,248.0
16,,250.0
17,,250.0
18,,250.0
19,,250.0
20,27.42975616455078,247.0
21,,250.0
22,,250.0
23,146.1251983642578,247.0
24,,250.0
25,,250.0
26,249.89703369140625,247.0
27,,250.0
28,,250.0
29,,250.0
30,,250.0
31,,250.0
32,,250.0
33,,250.0
34,196.76112365722656,249.0
35,,250.0
36,,250.0
37,71.19813537597656,244.0
38,,250.0
39,,250.0
40,,250.0
41,,250.0
42,,250.0
43,,250.0
44,,250.0
45,,250.0
46,,250.0
47,,250.0
48,,250.0
49,,250.0
50,,250.0
51,,250.0
52,,250.0
53,10.57183837890625,245.0
54,,250.0
55,,250.0
56,,250.0
57,,250.0
58,,250.0
59,,250.0
60,,250.0
61,,250.0
62,,250.0
63,,250.0
64,,250.0
65,,250.0
66,36.628944396972656,246.0
67,149.7958984375,247.0
68,,250.0
69,,250.0
70,,250.0
71,,250.0
72,,250.0
73,,250.0
74,,250.0
75,,250.0
76,132.30709838867188,249.0
77,,250.0
78,,250.0
79,,250.0
80,,250.0
81,166.33047485351562,246.0
82,,250.0
83,,250.0
84,26.136783599853516,249.0
85,,250.0
86,,250.0
87,137.7237548828125,249.0
88,,250.0
89,,250.0
90,,250.0
91,,250.0
92,,250.0
93,52.36761474609375,249.0
94,271.6132507324219,249.0
95,,250.0
96,,250.0
97,,250.0
98,,250.0
99,,250.0
100,,250.0
101,179.8822021484375,248.0
102,,250.0
103,206.447021484375,247.0
104,,250.0
105,341.6427917480469,249.0
106,,250.0
107,,250.0
108,,250.0
109,,250.0
110,142.01626586914062,249.0
111,162.79991149902344,248.0
112,66.15472412109375,236.0
113,,250.0
114,,250.0
115,235.66845703125,249.0
116,,250.0
117,,250.0
118,,250.0
119,,250.0
120,,250.0
121,,250.0
122,,250.0
123,,250.0
124,,250.0
125,,250.0
126,,250.0
127,323.3043212890625,246.0
128,,250.0
129,,250.0
130,,250.0
131,,250.0
132,,250.0
133,341.3506164550781,243.0
134,314.54046630859375,247.0
135,,250.0
136,,250.0
137,216.72918701171875,248.0
138,301.9757080078125,248.0
139,17.562408447265625,240.0
140,,250.0
141,156.29916381835938,248.0
142,,250.0
143,228.3449249267578,248.0
144,,250.0
145,,250.0
146,,250.0
147,12.2740478515625,248.0
148,,250.0
149,,250.0
150,,250.0
151,,250.0
152,,250.0
153,,250.0
154,,250.0
155,,250.0
156,,250.0
157,,250.0
158,1.3416748046875,249.0
159,,250.0
160,,250.0
161,319.35003662109375,244.0
162,,250.0
163,,250.0
164,,250.0
165,,250.0
166,,250.0
167,,250.0
168,,250.0
169,,250.0
170,,250.0
171,166.91619873046875,238.0
172,,250.0
173,,250.0
174,,250.0
175,,250.0
176,,250.0
177,,250.0
178,,250.0
179,,250.0
180,,250.0
181,,250.0
182,176.37890625,249.0
183,,250.0
184,,250.0
185,252.29861450195312,248.0
186,,250.0
187,,250.0
188,,250.0
189,,250.0
190,,250.0
191,,250.0
192,,250.0
193,,250.0
194,65.94916534423828,249.0
195,,250.0
196,,250.0
197,165.67239379882812,249.0
198,,250.0
199,,250.0
200,,250.0
201,,250.0
202,,250.0
203,141.69064331054688,249.0
204,,250.0
205,,250.0
206,,250.0
207,,250.0
208,,250.0
209,,250.0
210,,250.0
211,,250.0
212,,250.0
213,11.793365478515625,239.0
214,241.17324829101562,245.0
215,,250.0
216,211.473388671875,248.0
217,,250.0
218,,250.0
219,,250.0
220,,250.0
221,,250.0
222,,250.0
223,,250.0
224,,250.0
225,296.773193359375,248.0
226,,250.0
227,,250.0
228,,250.0
229,,250.0
230,287.25396728515625,249.0
231,,250.0
232,,250.0
233,,250.0
234,,250.0
235,,250.0
236,,250.0
237,,250.0
238,,250.0
239,,250.0
240,31.241191864013672,245.0
241,32.00461196899414,247.0
242,,250.0
243,348.0030212402344,248.0
244,,250.0
245,95.21627807617188,249.0
246,,250.0
247,,250.0
248,,250.0
249,301.0775146484375,247.0
250,,250.0
251,88.21092987060547,249.0
252,,250.0
253,,250.0
254,,250.0
255,,250.0
256,,250.0
257,,250.0
258,354.20635986328125,249.0
259,,250.0
260,,250.0
261,,250.0
262,,250.0
263,,250.0
264,,250.0
265,,250.0
266,256.2335510253906,249.0
267,,250.0
268,293.018798828125,249.0
269,,250.0
270,,250.0
271,322.88836669921875,239.0
272,,250.0
273,,250.0
274,,250.0
