fid,aspect,nagib
2,,250.0
3,336.31689453125,239.0
6,,250.0
7,,250.0
8,121.80370330810547,249.0
12,,250.0
14,,250.0
15,,250.0
16,,250.0
17,184.44529724121094,249.0
19,,250.0
20,49.698570251464844,245.0
21,,250.0
22,,250.0
23,,250.0
27,24.010848999023438,249.0
29,,250.0
31,,250.0
32,,250.0
33,,250.0
34,,250.0
35,205.63201904296875,248.0
36,16.756187438964844,249.0
37,319.92388916015625,249.0
38,,250.0
39,,250.0
43,,250.0
44,,250.0
45,325.3343200683594,249.0
49,,250.0
50,187.43328857421875,249.0
51,,250.0
52,,250.0
53,,250.0
54,88.06059265136719,248.0
55,92.55290985107422,249.0
56,,250.0
57,,250.0
58,,250.0
59,104.24029541015625,247.0
60,,250.0
62,,250.0
92,,250.0
105,,250.0
106,,250.0
132,,250.0
140,,250.0
211,,250.0
227,,250.0
247,,250.0
279,,250.0
312,,250.0
313,,250.0
314,,250.0
315,,250.0
472,,250.0
473,,250.0
475,,250.0
476,,250.0
477,309.6524658203125,249.0
478,,250.0
479,350.8656005859375,246.0
492,31.672866821289062,245.0
515,,250.0
524,,250.0
527,,250.0
530,,250.0
531,,250.0
532,,250.0
533,353.1263427734375,248.0
534,,250.0
536,,250.0
537,,250.0
538,,250.0
539,279.9252014160156,247.0
547,145.6742401123047,249.0
548,,250.0
549,,250.0
550,,250.0
551,,250.0
553,15.26776123046875,247.0
656,,250.0
657,,250.0
