fid,c_frag
1,53.0
2,69.0
3,77.0
4,52.0
5,35.0
6,69.0
7,44.0
8,45.0
9,54.0
11,31.0
12,35.0
14,42.0
15,40.0
16,38.0
17,40.0
18,38.0
19,31.0
20,79.0
21,45.0
22,52.0
23,42.0
25,38.0
26,63.0
27,31.0
28,57.0
29,34.0
30,43.0
31,52.0
32,43.0
33,57.0
34,36.0
35,65.0
36,35.0
37,57.0
38,42.0
39,42.0
40,54.0
41,52.0
42,47.0
43,40.0
44,50.0
45,78.0
48,43.0
49,84.0
50,70.0
51,71.0
52,32.0
53,50.0
54,46.0
55,46.0
56,37.0
57,59.0
58,33.0
59,79.0
60,30.0
62,35.0
69,38.0
71,65.0
80,33.0
90,32.0
92,33.0
103,39.0
105,33.0
106,56.0
110,34.0
113,43.0
116,42.0
126,60.0
132,35.0
140,46.0
180,37.0
211,35.0
227,53.0
247,48.0
279,51.0
283,59.0
312,51.0
313,54.0
314,42.0
315,36.0
472,41.0
473,63.0
474,61.0
475,50.0
476,31.0
477,59.0
478,83.0
479,52.0
481,43.0
490,31.0
492,54.0
496,44.0
513,75.0
514,55.0
515,39.0
516,31.0
517,33.0
520,47.0
521,56.0
522,56.0
523,73.0
524,47.0
525,46.0
526,44.0
527,59.0
528,66.0
529,63.0
530,39.0
531,56.0
532,62.0
533,46.0
534,73.0
535,63.0
536,54.0
537,42.0
538,31.0
539,60.0
540,61.0
541,59.0
542,50.0
543,69.0
544,69.0
545,71.0
546,67.0
547,58.0
548,32.0
549,34.0
550,54.0
551,33.0
552,69.0
553,77.0
556,61.0
557,46.0
562,37.0
592,76.0
656,61.0
657,40.0
