fid,c_frag
1,53.0
2,69.0
3,77.0
4,52.0
5,35.0
6,69.0
7,44.0
8,45.0
9,54.0
11,31.0
12,35.0
14,42.0
15,40.0
16,38.0
17,40.0
18,38.0
19,31.0
20,79.0
21,45.0
22,52.0
23,42.0
25,38.0
26,63.0
27,31.0
28,57.0
29,34.0
30,43.0
31,52.0
32,43.0
33,57.0
34,36.0
35,65.0
36,35.0
37,57.0
38,42.0
39,42.0
40,54.0
41,52.0
42,47.0
43,40.0
44,50.0
45,78.0
48,43.0
49,84.0
50,70.0
51,71.0
52,32.0
53,50.0
54,46.0
55,46.0
56,37.0
57,59.0
58,33.0
59,79.0
60,30.0
62,35.0
63,39.0
64,31.0
65,30.0
66,37.0
67,35.0
68,74.0
69,38.0
70,43.0
71,65.0
72,34.0
73,31.0
78,32.0
80,33.0
85,35.0
90,32.0
91,36.0
92,33.0
93,37.0
95,32.0
103,39.0
105,33.0
106,56.0
110,34.0
113,43.0
114,69.0
115,40.0
116,42.0
117,38.0
118,35.0
119,40.0
123,44.0
124,43.0
126,60.0
132,35.0
133,52.0
134,45.0
135,35.0
136,39.0
137,49.0
138,63.0
139,48.0
140,46.0
141,55.0
142,41.0
143,53.0
144,101.0
145,37.0
146,34.0
147,35.0
148,35.0
149,36.0
150,67.0
151,64.0
152,37.0
153,39.0
154,33.0
155,35.0
156,31.0
157,31.0
158,34.0
159,33.0
160,61.0
161,62.0
162,34.0
164,32.0
165,54.0
166,31.0
175,43.0
180,37.0
190,33.0
193,30.0
200,46.0
211,35.0
217,54.0
227,53.0
243,52.0
245,62.0
247,48.0
249,41.0
266,37.0
270,38.0
271,52.0
272,35.0
273,32.0
277,40.0
278,47.0
279,51.0
283,59.0
312,51.0
313,54.0
314,42.0
315,36.0
316,31.0
323,35.0
325,44.0
377,34.0
378,50.0
379,31.0
380,31.0
388,48.0
393,41.0
394,45.0
395,51.0
459,31.0
461,44.0
463,98.0
467,55.0
472,41.0
473,63.0
474,61.0
475,50.0
476,31.0
477,59.0
478,83.0
479,52.0
481,43.0
482,43.0
484,43.0
486,48.0
490,31.0
492,54.0
493,60.0
494,46.0
495,47.0
496,44.0
497,72.0
500,48.0
513,75.0
514,55.0
515,39.0
516,31.0
517,33.0
520,47.0
521,56.0
522,56.0
523,73.0
524,47.0
525,46.0
526,44.0
527,59.0
528,66.0
529,63.0
530,39.0
531,56.0
532,62.0
533,46.0
534,73.0
535,63.0
536,54.0
537,42.0
538,31.0
539,60.0
540,61.0
541,59.0
542,50.0
543,69.0
544,69.0
545,71.0
546,67.0
547,58.0
548,32.0
549,34.0
550,54.0
551,33.0
552,69.0
553,77.0
554,44.0
555,42.0
556,61.0
557,46.0
558,42.0
559,48.0
560,43.0
561,33.0
562,37.0
563,52.0
566,33.0
567,40.0
568,33.0
569,31.0
570,38.0
571,31.0
572,36.0
573,31.0
574,36.0
575,31.0
576,46.0
577,33.0
578,47.0
579,32.0
580,32.0
581,34.0
582,32.0
583,50.0
584,52.0
585,41.0
586,41.0
587,56.0
588,35.0
589,62.0
590,104.0
591,57.0
592,76.0
593,83.0
594,61.0
595,32.0
596,51.0
608,55.0
633,70.0
636,88.0
649,36.0
650,34.0
652,57.0
654,34.0
655,41.0
656,61.0
657,40.0
659,42.0
