fid,c_frag
63,39.0
64,31.0
65,30.0
66,37.0
67,35.0
68,74.0
70,43.0
72,34.0
73,31.0
78,32.0
85,35.0
91,36.0
93,37.0
95,32.0
114,69.0
115,40.0
117,38.0
118,35.0
119,40.0
123,44.0
124,43.0
133,52.0
134,45.0
135,35.0
136,39.0
137,49.0
138,63.0
139,48.0
141,55.0
142,41.0
143,53.0
144,101.0
145,37.0
146,34.0
147,35.0
148,35.0
149,36.0
150,67.0
151,64.0
152,37.0
153,39.0
154,33.0
155,35.0
156,31.0
157,31.0
158,34.0
159,33.0
160,61.0
161,62.0
162,34.0
164,32.0
165,54.0
166,31.0
175,43.0
190,33.0
193,30.0
200,46.0
217,54.0
243,52.0
245,62.0
249,41.0
266,37.0
270,38.0
271,52.0
272,35.0
273,32.0
277,40.0
278,47.0
316,31.0
323,35.0
325,44.0
377,34.0
378,50.0
379,31.0
380,31.0
388,48.0
393,41.0
394,45.0
395,51.0
459,31.0
461,44.0
463,98.0
467,55.0
482,43.0
484,43.0
486,48.0
493,60.0
494,46.0
495,47.0
497,72.0
500,48.0
554,44.0
555,42.0
558,42.0
559,48.0
560,43.0
561,33.0
563,52.0
566,33.0
567,40.0
568,33.0
569,31.0
570,38.0
571,31.0
572,36.0
573,31.0
574,36.0
575,31.0
576,46.0
577,33.0
578,47.0
579,32.0
580,32.0
581,34.0
582,32.0
583,50.0
584,52.0
585,41.0
586,41.0
587,56.0
588,35.0
589,62.0
590,104.0
591,57.0
593,83.0
594,61.0
595,32.0
596,51.0
608,55.0
633,70.0
636,88.0
649,36.0
650,34.0
652,57.0
654,34.0
655,41.0
659,42.0
