fid,dist_rijeka_korig
1,1213.32
4,1037.76
5,834.39
9,229.58
11,2151.34
18,113.27
25,2688.71
26,319.29
28,440.69
30,865.42
40,1690.6
41,156.76
42,1209.61
48,1092.13
69,421.24
71,473.08
80,188.13
90,195.35
103,189.45
110,621.61
113,300.29
116,349.14
126,331.38
180,988.41
283,1539.51
474,776.46
481,404.62
490,192.72
496,249.65
513,232.44
514,343.07
516,131.16
517,72.23
520,227.81
521,451.2
522,865.17
523,148.01
525,715.69
526,457.5
528,196.87
529,815.67
535,31.81
540,911.1
541,190.18
542,169.47
543,408.46
544,245.52
545,321.84
546,197.34
552,136.19
556,1008.02
557,546.61
562,988.46
592,1813.55
