fid,dist_rijeka_korig
1,1451.61
2,119.64
3,1958.08
4,1610.88
5,2586.25
6,475.25
7,567.96
8,95.0
9,595.93
10,307.34
11,1509.21
12,623.93
13,1763.1
14,537.01
15,273.94
16,489.97
17,1878.96
18,2261.16
19,2723.58
20,163.03
21,3271.24
22,570.28
23,734.91
24,370.27
25,1741.8
26,1198.87
27,475.51
28,940.5
29,195.92
30,928.4
31,3099.84
32,455.11
33,5211.61
34,669.0
35,608.9
36,295.41
37,1199.53
38,1949.86
39,91.48
40,891.5
41,550.02
42,125.29
43,2133.06
44,653.47
45,93.39
46,2264.78
47,1417.63
48,869.21
49,384.29
50,1694.23
51,681.39
52,71.79
53,357.04
54,906.94
55,76.93
56,272.83
57,679.96
58,147.15
59,530.41
60,2616.51
61,192.19
62,532.39
63,2995.45
64,145.73
65,187.47
66,855.36
67,1610.05
68,1254.22
69,56.68
70,3019.7
71,174.85
72,1989.04
73,1123.14
74,1379.65
75,939.29
76,1283.41
77,2959.88
78,275.19
79,1349.36
80,722.25
81,1122.65
82,15.06
83,288.45
84,1698.98
85,1241.9
86,2033.11
87,610.75
88,753.56
89,1236.66
90,1285.08
91,2592.21
92,208.51
93,2435.73
94,158.31
95,520.79
96,478.26
97,780.65
98,1143.46
99,2477.02
100,1632.23
101,1557.7
102,1902.73
103,1088.97
104,545.95
105,1347.3
106,2664.0
107,1886.26
108,146.68
109,36.18
110,38.17
111,258.93
112,15.78
113,2163.75
114,1421.82
115,1724.64
116,968.97
117,1047.6
118,627.62
119,1375.27
120,839.78
121,786.49
122,282.1
123,1059.4
124,375.06
125,74.05
126,1679.61
127,1595.16
128,1376.79
129,791.06
130,1225.97
131,1191.17
132,168.4
133,3567.7
134,1265.22
135,1189.06
136,1731.55
137,286.95
138,1244.85
139,1341.6
140,19.98
141,1634.41
142,787.21
143,459.69
144,75.97
145,771.75
146,796.52
147,1465.74
148,565.16
149,48.15
150,757.3
151,3165.63
152,2739.38
153,853.02
154,556.83
155,1165.29
156,217.96
157,615.9
158,1235.19
159,1426.17
160,102.29
161,2198.4
162,1086.0
163,734.11
164,4275.51
165,2396.07
166,2878.62
167,217.25
168,1965.92
169,327.81
170,587.59
171,73.14
172,1923.78
173,243.48
174,698.85
175,883.7
176,44.97
177,751.09
178,330.48
179,782.7
180,417.01
181,1574.68
182,2068.01
183,268.84
184,1329.13
185,1438.77
186,2502.47
187,2593.3
188,1529.26
189,2440.23
190,1033.38
191,1940.44
192,382.37
193,289.83
194,1572.15
195,1182.1
196,1658.2
197,451.0
198,1851.87
199,2434.96
200,1028.35
201,2996.07
202,805.71
203,718.86
204,125.91
205,432.67
206,689.54
207,989.88
208,1303.44
209,25.29
210,437.93
211,593.58
212,1752.38
213,1046.7
214,540.75
215,715.57
216,579.08
217,491.48
218,2228.2
219,2235.72
220,2789.1
221,1103.09
222,440.96
223,674.74
224,213.63
225,36.18
226,286.77
227,277.4
228,1152.69
229,281.82
230,390.32
231,2145.67
232,122.0
233,990.35
234,879.45
235,976.64
236,1998.69
237,996.84
238,823.16
239,1807.15
240,3225.38
241,463.05
242,1079.6
243,2665.64
244,856.68
245,2152.84
246,4181.94
247,2153.04
248,752.32
249,416.87
250,837.57
251,1083.99
252,2684.98
253,38.17
254,608.24
255,1646.1
256,284.77
257,2457.07
258,609.06
259,1826.42
260,1078.6
261,41.19
262,1774.74
263,680.86
264,2084.34
265,549.01
266,18.87
267,2994.6
268,851.78
269,4663.76
270,3086.88
271,2106.32
272,814.67
273,376.41
274,2020.46
