fid,dist_rijeka_korig
1,1213.32
2,324.82
3,696.96
4,1037.76
5,834.39
6,283.32
7,132.61
8,171.43
9,229.58
11,2151.34
12,123.42
14,2424.9
15,101.13
16,148.11
17,77.63
18,113.27
19,1751.96
20,109.06
21,452.09
22,2734.93
23,1355.6
25,2688.71
26,319.29
27,191.74
28,440.69
29,68.53
30,865.42
31,1643.45
32,476.46
33,84.69
34,355.62
35,126.5
36,91.92
37,520.29
38,325.75
39,416.45
40,1690.6
41,156.76
42,1209.61
43,119.31
44,280.41
45,897.5
48,1092.13
49,571.11
50,569.1
51,188.27
52,727.21
53,154.16
54,274.52
55,273.61
56,712.43
57,866.26
58,747.35
59,2046.08
60,597.25
62,201.09
69,421.24
71,473.08
80,188.13
90,195.35
92,1288.18
103,189.45
105,864.93
106,1877.37
110,621.61
113,300.29
116,349.14
126,331.38
132,1092.66
140,75.18
180,988.41
211,96.92
227,1570.8
247,612.97
279,1182.32
283,1539.51
312,892.12
313,548.74
314,276.76
315,833.58
472,367.21
473,307.02
474,776.46
475,673.02
476,842.21
477,300.76
478,794.8
479,512.04
481,404.62
490,192.72
492,208.73
496,249.65
513,232.44
514,343.07
515,260.08
516,131.16
517,72.23
520,227.81
521,451.2
522,865.17
523,148.01
524,148.74
525,715.69
526,457.5
527,258.11
528,196.87
529,815.67
530,197.02
531,726.82
532,1319.56
533,443.1
534,141.09
535,31.81
536,853.5
537,277.69
538,89.7
539,132.25
540,911.1
541,190.18
542,169.47
543,408.46
544,245.52
545,321.84
546,197.34
547,343.34
548,2293.4
549,863.63
550,1120.71
551,1603.31
552,136.19
553,488.14
556,1008.02
557,546.61
562,988.46
592,1813.55
656,1718.28
657,1626.51
