fid,dist_rijeka_korig
1,1213.32
2,324.82
3,696.96
4,1037.76
5,834.39
6,283.32
7,132.61
8,171.43
9,229.58
11,2151.34
12,123.42
14,2424.9
15,101.13
16,148.11
17,77.63
18,113.27
19,1751.96
20,109.06
21,452.09
22,2734.93
23,1355.6
25,2688.71
26,319.29
27,191.74
28,440.69
29,68.53
30,865.42
31,1643.45
32,476.46
33,84.69
34,355.62
35,126.5
36,91.92
37,520.29
38,325.75
39,416.45
40,1690.6
41,156.76
42,1209.61
43,119.31
44,280.41
45,897.5
48,1092.13
49,571.11
50,569.1
51,188.27
52,727.21
53,154.16
54,274.52
55,273.61
56,712.43
57,866.26
58,747.35
59,2046.08
60,597.25
62,201.09
63,1105.12
64,1842.61
65,2422.17
66,80.71
67,1240.6
68,449.52
69,421.24
70,1023.78
71,473.08
72,1106.12
73,123.46
78,413.24
80,188.13
85,164.04
90,195.35
91,1295.82
92,1288.18
93,821.4
95,1457.25
103,189.45
105,864.93
106,1877.37
110,621.61
113,300.29
114,803.26
115,399.89
116,349.14
117,307.17
118,216.11
119,240.92
123,2937.55
124,2697.97
126,331.38
132,1092.66
133,77.8
134,1012.63
135,3116.45
136,1098.04
137,1229.53
138,472.71
139,53.93
140,75.18
141,19.67
142,127.74
143,1222.44
144,114.03
145,3428.51
146,98.47
147,142.86
148,1707.37
149,1580.54
150,127.21
151,68.51
152,676.57
153,607.3
154,641.4
155,697.56
156,24.69
157,6.83
158,1221.88
159,1402.65
160,171.99
161,245.65
162,99.77
164,244.56
165,232.96
166,32.22
175,1207.43
180,988.41
190,918.62
193,327.58
200,1143.95
211,96.92
217,1404.33
227,1570.8
243,327.8
245,795.76
247,612.97
249,362.75
266,203.02
270,2345.92
271,97.45
272,877.24
273,1970.39
277,362.22
278,1117.51
279,1182.32
283,1539.51
312,892.12
313,548.74
314,276.76
315,833.58
316,115.57
323,3657.62
325,1995.6
377,277.62
378,120.27
379,311.6
380,587.77
388,983.92
393,53.36
394,748.69
395,839.91
459,125.25
461,1349.17
463,268.26
467,179.7
472,367.21
473,307.02
474,776.46
475,673.02
476,842.21
477,300.76
478,794.8
479,512.04
481,404.62
482,605.26
484,1450.19
486,572.02
490,192.72
492,208.73
493,204.79
494,169.97
495,260.91
496,249.65
497,160.83
500,171.42
513,232.44
514,343.07
515,260.08
516,131.16
517,72.23
520,227.81
521,451.2
522,865.17
523,148.01
524,148.74
525,715.69
526,457.5
527,258.11
528,196.87
529,815.67
530,197.02
531,726.82
532,1319.56
533,443.1
534,141.09
535,31.81
536,853.5
537,277.69
538,89.7
539,132.25
540,911.1
541,190.18
542,169.47
543,408.46
544,245.52
545,321.84
546,197.34
547,343.34
548,2293.4
549,863.63
550,1120.71
551,1603.31
552,136.19
553,488.14
554,2080.45
555,2033.16
556,1008.02
557,546.61
558,980.65
559,445.42
560,330.5
561,133.5
562,988.46
563,192.99
566,129.91
567,205.76
568,98.24
569,47.84
570,1263.38
571,375.37
572,327.74
573,1282.39
574,723.13
575,1202.99
576,421.72
577,940.38
578,2295.1
579,184.61
580,258.19
581,211.45
582,949.07
583,1709.95
584,66.83
585,426.81
586,745.46
587,65.28
588,2575.48
589,528.84
590,601.76
591,1206.47
592,1813.55
593,335.28
594,300.96
595,287.42
596,2622.04
608,193.39
633,432.98
636,458.19
649,69.16
650,1964.57
652,1393.77
654,293.5
655,276.81
656,1718.28
657,1626.51
659,1574.91
