fid,dist_rijeka_korig
1,129.92
2,812.32
3,865.05
4,203.89
5,1907.35
6,1261.32
7,2.67
8,92.8
9,642.47
10,918.16
11,978.58
12,2164.3
13,594.24
14,2780.25
15,1301.23
16,2071.05
17,58.38
18,2273.96
19,1150.69
20,80.83
21,107.5
22,84.73
23,1944.73
24,161.59
25,2608.97
26,593.32
27,243.89
28,1010.14
29,90.09
30,1888.68
31,1228.73
32,167.04
33,156.56
34,11.48
35,80.4
36,1546.01
37,1100.84
38,960.45
39,939.59
40,327.69
41,2658.01
42,2228.71
43,117.45
44,1484.31
45,1458.59
46,1562.54
47,1806.38
48,1163.14
49,270.46
50,1323.58
51,1650.16
52,1086.27
53,773.35
54,1539.02
55,2615.28
56,111.61
57,2568.62
58,123.26
59,1435.55
60,2211.11
61,424.26
62,1580.22
63,1384.3
64,246.08
65,3186.3
66,2990.74
67,3545.96
68,1080.65
69,2608.12
70,360.83
71,1333.44
72,254.3
73,1042.54
74,141.28
75,2474.81
76,120.59
77,1104.44
78,2133.51
79,16.59
80,900.17
81,351.56
82,230.56
83,308.04
84,652.1
85,687.08
86,369.47
87,270.25
88,1314.52
89,2827.9
90,953.93
91,499.74
92,380.13
93,105.72
94,1880.52
95,339.34
96,284.58
97,263.45
98,385.62
99,2489.37
100,92.46
101,784.9
102,1343.86
103,4732.73
104,32.39
105,2192.62
106,1072.35
107,507.68
108,3010.41
109,3605.26
110,489.42
111,343.15
112,1106.44
113,907.87
114,289.5
115,1230.54
116,2108.22
117,663.21
118,239.58
119,746.54
120,17.58
121,86.33
122,18.67
123,1055.31
124,1617.5
125,669.47
126,1836.32
127,1227.66
128,97.17
129,1018.16
130,491.02
131,769.22
132,1437.46
133,1794.29
134,917.86
135,18.59
136,308.06
137,483.85
138,161.85
139,1484.29
140,758.26
141,2323.23
142,107.85
143,426.48
144,717.32
145,1461.11
146,740.64
147,504.66
148,302.86
149,217.23
150,304.41
151,523.72
152,340.75
153,4186.43
154,347.0
155,104.65
156,2647.17
157,257.38
158,89.79
159,267.66
160,324.15
161,2082.99
162,929.46
163,1307.07
164,946.08
165,129.72
166,943.84
167,1302.0
168,1349.09
169,2043.09
170,21.14
171,1717.25
172,759.1
173,367.39
174,1727.78
175,285.91
176,2633.08
177,2740.4
178,580.3
179,210.62
180,609.46
181,45.17
182,1212.78
183,435.87
184,738.25
185,1196.61
186,34.33
187,2067.33
188,1046.06
189,351.1
190,3082.69
191,2360.82
192,970.07
193,2049.66
194,973.46
195,3.6
196,1169.31
197,2061.84
198,373.25
199,2468.26
200,33.5
201,1596.31
202,1405.72
203,1335.22
204,367.14
205,690.83
206,32.41
207,1562.32
208,93.41
209,6.85
210,895.06
211,1803.08
212,1479.82
213,35.48
214,254.54
215,0.11
216,1067.79
217,589.33
218,428.59
219,300.27
220,1982.38
221,1845.91
222,626.89
223,839.76
224,1550.65
225,436.63
226,442.41
227,59.81
228,311.52
229,79.05
230,884.23
231,61.99
232,122.25
233,1692.32
234,328.93
235,1464.08
236,2054.15
237,169.87
238,451.2
239,898.93
240,2654.93
241,338.49
242,418.46
243,69.21
244,1492.6
245,3274.97
246,805.64
247,1444.83
248,2173.58
249,1169.46
250,2961.54
251,1583.85
252,65.54
253,32.22
254,1177.53
255,2490.63
256,647.86
257,1637.0
258,374.77
259,2033.61
260,325.15
261,51.72
262,399.82
263,1808.3
264,75.35
265,743.1
266,541.15
267,344.82
268,1072.04
269,28.12
270,297.98
271,2210.43
272,272.24
273,2071.35
274,1111.25
