fid,gustoca_km_km2
1,0.0
4,0.0
5,0.103003
9,0.906535
11,0.0
18,0.72008
25,0.0
26,0.0
28,0.75684
30,0.200694
40,0.0
41,0.725757
42,0.0
48,0.0
69,0.981275
71,0.989475
80,0.764987
90,0.884954
103,0.691955
110,0.49271
113,2.161394
116,0.68521
126,0.755704
180,0.018822
283,0.0
474,0.318016
481,0.546123
490,0.985922
496,0.688305
513,0.314755
514,0.397593
516,0.706731
517,0.756504
520,1.253218
521,0.104017
522,0.0
523,0.0
525,0.39643
526,0.598551
528,0.0
529,0.0
535,1.147368
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
552,1.505338
556,0.0
557,0.589424
562,0.019001
592,0.0
