fid,gustoca_km_km2
1,0.078654
2,0.588132
3,0.016633
4,0.399898
5,0.0
6,0.622721
7,0.397783
8,0.417049
9,0.371485
10,0.355516
11,0.115001
12,0.760763
13,0.101504
14,0.329956
15,0.507866
16,0.474401
17,0.121458
18,0.0
19,0.0
20,0.954387
21,0.0
22,0.485844
23,0.347283
24,0.751264
25,0.0
26,0.22251
27,0.773528
28,0.156618
29,0.862138
30,0.578134
31,0.0
32,0.817404
33,0.0
34,0.746163
35,0.817181
36,0.680265
37,0.349013
38,0.004586
39,0.942773
40,0.657843
41,0.810522
42,0.807044
43,0.0
44,0.315448
45,0.350794
46,0.0
47,0.296095
48,0.316598
49,0.839024
50,0.132401
51,0.295871
52,0.429694
53,0.653277
54,0.343459
55,0.585106
56,0.200053
57,0.724463
58,0.796838
59,0.520721
60,0.0
61,0.783006
62,0.591229
63,0.0
64,0.36462
65,0.201349
66,0.313735
67,0.18164
68,0.335745
69,0.810865
70,0.0
71,0.806047
72,0.004646
73,0.763833
74,0.057596
75,0.294907
76,0.257519
77,0.0
78,0.41027
79,0.161834
80,0.466095
81,0.347003
82,0.849878
83,0.448074
84,0.029474
85,0.238736
86,0.0
87,0.382161
88,0.815743
89,0.564792
90,0.205557
91,0.0
92,0.690525
93,0.0
94,1.031885
95,0.549374
96,0.35376
97,0.581059
98,0.120452
99,0.0
100,0.138148
101,0.233127
102,0.022107
103,0.212619
104,0.496274
105,0.431613
106,0.0
107,0.066651
108,0.542979
109,0.627681
110,0.380338
111,0.399965
112,0.388801
113,0.0
114,0.164997
115,0.140596
116,0.380052
117,0.0
118,0.377913
119,0.234846
120,0.680724
121,0.516132
122,0.442101
123,0.414698
124,0.335755
125,0.834611
126,0.183268
127,0.215113
128,0.191791
129,0.327704
130,0.334811
131,0.338761
132,0.553507
133,0.0
134,0.416181
135,0.272698
136,0.035124
137,0.377938
138,0.231541
139,0.167568
140,0.795371
141,0.031958
142,0.421505
143,0.338612
144,0.503627
145,0.129464
146,0.362474
147,0.171436
148,0.56243
149,0.550556
150,0.439715
151,0.0
152,0.0
153,0.472865
154,0.370417
155,0.149104
156,0.670441
157,0.108459
158,0.642521
159,0.142779
160,0.60048
161,0.0
162,0.421287
163,0.270211
164,0.0
165,0.0
166,0.0
167,0.859464
168,0.005353
169,0.82827
170,0.765893
171,0.420011
172,0.028147
173,0.716313
174,0.331474
175,0.122637
176,0.401689
177,0.169767
178,0.045743
179,0.344997
180,0.418951
181,0.459266
182,0.0
183,0.544296
184,0.115799
185,0.064649
186,0.0
187,0.0
188,0.074501
189,0.0
190,0.585726
191,0.004796
192,0.727039
193,0.647923
194,0.070229
195,0.233744
196,0.155517
197,0.611745
198,0.080681
199,0.0
200,0.403476
201,0.0
202,0.816624
203,0.477245
204,0.479586
205,0.558816
206,0.298786
207,0.145766
208,0.217575
209,0.531884
210,0.392884
211,0.60727
212,0.060339
213,0.517138
214,0.597624
215,0.358864
216,0.587068
217,1.167449
218,0.0
219,0.0
220,0.0
221,0.834518
222,0.463375
223,0.143143
224,0.839677
225,0.844177
226,0.630187
227,0.748075
228,0.0
229,0.820762
230,0.45149
231,0.0
232,0.547849
233,0.190353
234,0.366589
235,0.188234
236,0.006786
237,1.157429
238,0.54335
239,0.016603
240,0.0
241,0.293321
242,0.185153
243,0.0
244,0.363466
245,0.0
246,0.0
247,0.0
248,0.635809
249,0.656099
250,0.326619
251,0.48251
252,0.0
253,0.948259
254,0.696414
255,0.196935
256,0.479393
257,0.0
258,0.567988
259,0.015799
260,0.271704
261,0.933486
262,0.028398
263,0.227881
264,0.0
265,0.379796
266,0.30414
267,0.0
268,0.252477
269,0.0
270,0.0
271,0.0
272,0.396298
273,0.900785
274,0.0
