fid,gustoca_km_km2
1,0.295038
2,0.189857
3,0.152841
4,0.250073
5,0.171721
6,0.824297
7,0.668905
8,0.43403
9,0.425569
11,0.0
12,0.40461
14,0.0
15,0.36743
16,0.395388
17,0.372141
18,0.370948
19,0.120426
20,0.324859
21,0.541316
22,0.0
23,0.282481
25,0.0
26,0.0
27,0.509543
28,0.455521
29,0.386465
30,0.619726
31,0.040812
32,0.385623
33,0.561365
34,0.772555
35,0.208378
36,0.543782
37,0.500324
38,0.373054
39,0.381939
40,0.370481
41,0.532535
42,0.483184
43,0.474045
44,0.769086
45,0.565892
48,0.0
49,0.0
50,0.362676
51,0.665244
52,0.396989
53,0.409039
54,0.445156
55,0.403142
56,0.461449
57,0.815101
58,0.321311
59,0.0
60,0.628831
62,0.46792
69,0.720288
71,0.807977
80,0.484643
90,0.401571
92,0.107999
103,0.445859
105,0.269014
106,0.036498
110,0.440511
113,1.121562
116,0.383997
126,0.436271
132,0.617392
140,0.387665
180,0.268387
211,1.025928
227,0.053888
247,0.904584
279,0.244126
283,0.177729
312,0.635577
313,0.332455
314,0.470165
315,0.375175
472,0.624606
473,0.172847
474,0.261456
475,0.356816
476,0.465811
477,0.832739
478,0.698519
479,0.689441
481,0.26059
490,0.472988
492,0.464137
496,0.393039
513,0.321888
514,0.324168
515,0.390542
516,0.404534
517,0.45075
520,0.886959
521,0.167291
522,0.185298
523,0.065371
524,0.378984
525,0.40336
526,0.347805
527,0.377813
528,0.027464
529,0.0
530,0.403789
531,0.350439
532,0.259296
533,0.723671
534,0.432932
535,0.423955
536,0.357222
537,1.190292
538,0.863009
539,0.200894
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.516992
550,0.265739
551,0.121997
552,0.758048
553,0.989396
556,0.450133
557,0.25914
562,0.268059
592,0.122202
656,0.078256
657,0.245483
