fid,gustoca_km_km2
1,0.529546
2,0.453695
3,0.424251
4,0.674982
5,0.009264
6,0.293012
7,0.527029
8,0.928307
9,0.167167
10,0.123324
11,0.627598
12,0.0
13,0.780387
14,0.0
15,0.17159
16,0.0
17,0.75999
18,0.0
19,0.404517
20,0.802768
21,0.718504
22,0.659955
23,0.004893
24,0.562973
25,0.0
26,0.24249
27,0.243298
28,0.302466
29,0.368173
30,0.057231
31,0.305259
32,0.372678
33,0.667513
34,1.137308
35,0.70294
36,0.30197
37,0.409158
38,0.464145
39,0.182891
40,0.40393
41,0.0
42,0.0
43,0.742446
44,0.286985
45,0.188411
46,0.098455
47,0.023084
48,0.677774
49,0.440433
50,0.456808
51,0.176834
52,0.492103
53,0.443023
54,0.23863
55,0.0
56,0.585901
57,0.0
58,1.024047
59,0.23803
60,0.0
61,1.108948
62,0.410658
63,0.334412
64,0.848561
65,0.0
66,0.0
67,0.0
68,0.259602
69,0.0
70,0.831469
71,0.246013
72,0.391096
73,0.600386
74,0.275827
75,0.0
76,0.78723
77,0.741531
78,0.0
79,0.545091
80,0.271175
81,0.407737
82,1.017771
83,0.349901
84,0.404351
85,0.372612
86,0.694677
87,0.520273
88,0.223537
89,0.0
90,0.560876
91,0.453859
92,0.39307
93,0.510659
94,0.011983
95,0.800922
96,0.23216
97,0.647667
98,0.558129
99,0.0
100,0.575563
101,0.523395
102,0.422486
103,0.0
104,0.568698
105,0.0
106,0.367703
107,0.197116
108,0.0
109,0.0
110,0.447847
111,0.600732
112,0.26802
113,0.136296
114,0.656277
115,0.248826
116,0.0
117,0.537305
118,0.31033
119,0.208973
120,0.390306
121,0.966153
122,0.67541
123,0.481456
124,0.076324
125,0.53379
126,0.11051
127,0.289063
128,0.742575
129,0.560325
130,0.029641
131,0.375324
132,0.186505
133,0.043421
134,0.20415
135,0.421723
136,0.670787
137,0.521231
138,0.310884
139,0.156172
140,1.101698
141,0.0
142,0.482239
143,0.273888
144,0.5666
145,0.068623
146,0.611298
147,0.306696
148,0.381718
149,1.085514
150,0.529368
151,0.761825
152,0.588421
153,0.0
154,0.582252
155,0.379989
156,0.0
157,0.801467
158,0.371304
159,0.47025
160,0.55061
161,0.0
162,0.557827
163,0.652959
164,0.232834
165,0.357335
166,0.418173
167,0.191746
168,0.158382
169,0.0
170,0.300373
171,0.122351
172,0.538918
173,0.537849
174,0.068005
175,0.553414
176,0.0
177,0.0
178,0.883259
179,0.470921
180,0.376763
181,0.774606
182,0.168338
183,0.389345
184,0.634262
185,0.384165
186,0.680481
187,0.0
188,0.38813
189,0.649761
190,0.0
191,0.0
192,0.264288
193,0.0
194,0.385796
195,0.521153
196,0.404799
197,0.0
198,0.266866
199,0.0
200,0.632757
201,0.154977
202,0.172249
203,0.108595
204,0.673241
205,0.312776
206,0.814361
207,0.26058
208,0.654583
209,0.631039
210,0.620094
211,0.02098
212,0.178062
213,0.647287
214,0.535254
215,0.40213
216,0.414613
217,0.387176
218,0.352578
219,0.762536
220,0.001373
221,0.0
222,0.549737
223,0.404699
224,0.150232
225,0.349794
226,0.507862
227,0.438839
228,0.567168
229,0.599182
230,0.386476
231,0.929024
232,0.251786
233,0.117467
234,0.339522
235,0.268543
236,0.0
237,0.387565
238,0.624625
239,0.410846
240,0.0
241,0.34433
242,0.582277
243,0.376769
244,0.06941
245,0.0
246,0.694739
247,0.335891
248,0.0
249,0.223386
250,0.0
251,0.217876
252,0.368006
253,0.822445
254,0.390011
255,0.0
256,0.353685
257,0.041262
258,0.333895
259,0.0
260,0.515528
261,0.503524
262,0.25515
263,0.148173
264,0.431123
265,0.570929
266,0.604659
267,0.429648
268,0.308723
269,0.683338
270,0.641139
271,0.0
272,0.462414
273,0.0
274,0.280026
