fid,gustoca_km_km2
2,0.381393
3,0.152231
6,0.949683
7,1.161919
8,1.178553
12,0.836584
14,0.0
15,0.729656
16,0.697971
17,0.73538
19,0.0
20,0.366622
21,0.605683
22,0.0
23,0.0
27,0.912198
29,0.763207
31,0.0
32,0.591591
33,1.022245
34,0.919633
35,0.0
36,0.940362
37,0.807429
38,0.631934
39,0.543097
43,0.880536
44,1.150138
45,0.100081
49,0.0
50,0.529155
51,1.189709
52,0.488784
53,0.772565
54,0.760853
55,0.764726
56,0.461221
57,0.323341
58,0.341262
59,0.0
60,0.599886
62,1.067017
92,0.0
105,0.234292
106,0.0
132,0.0
140,0.759933
211,0.921103
227,0.0
247,0.820148
279,0.0
312,0.265894
313,0.563423
314,0.780608
315,0.155223
472,1.117484
473,0.048721
475,0.35338
476,0.458726
477,1.210109
478,0.379061
479,1.160488
492,1.050893
515,0.620286
524,0.764262
527,0.698635
530,0.762759
531,0.569802
532,0.0
533,0.828422
534,1.176322
536,0.313472
537,0.915184
538,1.769433
539,0.425741
547,0.0
548,0.0
549,0.159327
550,0.0
551,0.0
553,0.674651
656,0.0
657,0.0
