fid,rel_100_1000m
1,14.399
4,0.614
5,-0.572
9,-11.44
11,2.32
18,-0.638
25,0.665
26,2.696
28,6.703
30,1.776
40,1.695
41,-0.797
42,0.441
48,-3.062
69,3.157
71,0.864
80,0.562
90,0.651
103,12.783
110,6.929
113,1.786
116,-2.101
126,2.275
180,0.87
283,3.276
474,0.444
481,10.81
490,9.294
496,16.129
513,11.315
514,3.961
516,-0.727
517,-1.345
520,13.513
521,8.714
522,8.914
523,-1.269
525,9.825
526,11.845
528,6.691
529,9.533
535,-12.391
540,0.35
541,0.94
542,1.724
543,-1.129
544,-4.791
545,-10.93
546,-5.431
552,-1.008
556,5.02
557,0.057
562,0.852
592,-0.658
