fid,rel_100_1000m
1,-26.426
2,-0.921
3,1.583
4,1.885
5,36.59
6,4.356
7,2.425
8,2.797
9,-11.689
10,0.532
11,8.087
12,1.256
13,-2.847
14,4.203
15,-0.081
16,-0.154
17,0.528
18,-0.19
19,-1.686
20,-2.568
21,12.407
22,11.383
23,-1.888
24,-0.429
25,-38.364
26,-1.272
27,0.87
28,-1.804
29,-0.625
30,-1.023
31,21.298
32,-1.445
33,3.635
34,1.264
35,-1.22
36,-1.302
37,-2.187
38,0.311
39,-0.963
40,33.747
41,1.32
42,-0.697
43,-19.451
44,-12.608
45,-4.819
46,0.42
47,0.763
48,18.855
49,1.957
50,3.448
51,-9.405
52,-0.23
53,1.613
54,-4.424
55,-0.303
56,-21.138
57,-0.464
58,-0.49
59,-27.125
60,20.381
61,-0.814
62,-2.951
63,45.22
64,-2.73
65,-26.346
66,1.372
67,3.369
68,-8.372
69,-3.47
70,-1.705
71,-0.033
72,-6.283
73,0.474
74,11.956
75,8.576
76,0.834
77,87.648
78,-4.493
79,-0.373
80,5.517
81,-8.377
82,-0.268
83,-4.581
84,0.712
85,5.07
86,-1.206
87,58.909
88,-0.694
89,2.734
90,-7.345
91,1.258
92,-0.795
93,-0.192
94,-4.695
95,1.046
96,-4.386
97,-1.582
98,-11.179
99,6.681
100,-2.333
101,-21.412
102,-0.156
103,-3.943
104,-3.865
105,0.444
106,31.82
107,-0.388
108,-0.225
109,-4.22
110,-1.496
111,-0.35
112,-0.49
113,-0.975
114,1.448
115,28.393
116,-0.817
117,-26.128
118,19.716
119,0.154
120,-0.849
121,-0.435
122,-0.319
123,2.575
124,0.611
125,-3.999
126,1.418
127,4.542
128,12.552
129,4.775
130,0.143
131,0.589
132,-0.111
133,-42.575
134,-3.128
135,-3.126
136,-0.272
137,-1.19
138,0.9
139,-1.284
140,-0.426
141,-26.549
142,-2.559
143,-0.363
144,-5.432
145,-16.446
146,2.015
147,27.934
148,-2.234
149,-2.692
150,11.69
151,0.343
152,27.272
153,3.616
154,-0.223
155,0.876
156,-1.186
157,2.358
158,0.89
159,6.772
160,-5.192
161,-0.996
162,0.602
163,0.942
164,-12.954
165,2.56
166,3.086
167,-1.952
168,-0.796
169,-0.776
170,0.152
171,-0.052
172,0.28
173,6.051
174,6.142
175,24.573
176,-2.614
177,-0.111
178,2.481
179,16.486
180,0.771
181,-0.386
182,3.938
183,2.955
184,-1.482
185,-0.082
186,-0.64
187,13.734
188,-19.788
189,2.266
190,-23.115
191,-20.856
192,-0.681
193,-1.085
194,0.369
195,12.376
196,7.989
197,1.751
198,0.366
199,7.525
200,5.447
201,29.881
202,4.79
203,-0.476
204,-2.163
205,0.834
206,3.261
207,41.568
208,-5.911
209,-31.135
210,0.358
211,1.418
212,-0.22
213,-1.551
214,4.299
215,15.087
216,0.147
217,14.78
218,9.812
219,9.683
220,68.62
221,-0.966
222,0.793
223,-18.983
224,0.147
225,-4.083
226,-0.146
227,-0.364
228,-7.66
229,1.697
230,1.062
231,-23.238
232,-18.083
233,-17.131
234,63.853
235,-2.573
236,-0.955
237,0.084
238,-10.667
239,-26.071
240,0.273
241,-0.288
242,-1.389
243,-0.145
244,4.242
245,-2.147
246,47.717
247,-0.838
248,0.651
249,-1.741
250,3.029
251,-9.665
252,6.291
253,-10.686
254,-1.041
255,1.69
256,-1.289
257,9.92
258,0.983
259,-84.539
260,9.502
261,-1.12
262,0.092
263,-10.965
264,-0.818
265,83.983
266,-29.259
267,25.193
268,2.861
269,-6.071
270,9.004
271,1.255
272,3.043
273,-1.387
274,-20.77
