fid,rel_500_1000m
1,4.649
2,-8.061
3,0.07
4,1.081
5,-0.093
6,-0.709
7,2.208
8,-1.752
9,-12.213
11,0.492
12,-0.215
14,-0.959
15,-0.026
16,0.052
17,-0.105
18,-0.527
19,0.717
20,-0.243
21,1.881
22,-3.337
23,-0.765
25,-0.827
26,2.338
27,0.403
28,2.207
29,0.447
30,-0.968
31,-1.672
32,-5.116
33,-10.333
34,-1.85
35,-12.548
36,-17.583
37,9.175
38,-3.996
39,-0.414
40,0.314
41,-0.921
42,0.139
43,-0.915
44,-8.666
45,1.779
48,-2.588
49,9.916
50,6.111
51,-2.073
52,0.764
53,-24.394
54,-3.603
55,-17.299
56,1.146
57,-0.33
58,0.259
59,-8.869
60,-1.182
62,-0.095
69,0.134
71,-0.676
80,-1.56
90,-0.966
92,-0.5
103,-0.163
105,1.333
106,-3.173
110,-0.77
113,0.451
116,-2.041
126,0.501
132,-2.351
140,2.056
180,-0.121
211,-0.063
227,-21.032
247,2.576
279,9.219
283,0.058
312,0.872
313,-0.089
314,0.481
315,-0.156
472,-0.716
473,-0.229
474,0.328
475,-1.912
476,0.083
477,8.11
478,7.997
479,4.434
481,5.554
490,-0.744
492,-1.047
496,4.123
513,2.425
514,-1.618
515,0.411
516,-1.505
517,-0.88
520,0.079
521,3.496
522,3.327
523,-0.226
524,0.386
525,0.552
526,8.361
527,-6.834
528,2.85
529,3.556
530,-16.97
531,0.7
532,-3.574
533,4.969
534,-2.256
535,-6.244
536,-0.317
537,-3.77
538,-0.095
539,-23.283
540,-6.171
541,-1.918
542,-0.567
543,-5.578
544,-7.147
545,-13.058
546,-5.751
547,-0.336
548,0.743
549,1.709
550,-7.166
551,1.78
552,-2.917
553,2.832
556,5.382
557,4.005
562,-0.126
592,0.062
656,-0.22
657,-0.251
