fid,rel_200_500m
1,8.941
2,-2.501
3,4.245
4,-0.173
5,-0.848
6,0.117
7,-0.514
8,1.131
9,-2.176
11,-0.082
12,0.002
14,-0.619
15,0.395
16,0.969
17,-0.058
18,-1.077
19,-0.147
20,0.355
21,0.836
22,0.204
23,-0.063
25,0.612
26,-3.367
27,3.399
28,4.624
29,-1.053
30,2.333
31,-0.847
32,-4.644
33,-9.519
34,-0.309
35,-8.924
36,-3.905
37,0.453
38,22.312
39,-0.144
40,1.426
41,-0.388
42,0.511
43,-0.406
44,2.33
45,-0.734
48,-1.219
49,16.762
50,10.946
51,-0.266
52,0.797
53,-6.81
54,0.411
55,-6.647
56,2.486
57,-0.474
58,0.161
59,-1.866
60,1.446
62,0.63
63,0.317
64,0.453
65,-0.553
66,-3.813
67,0.394
68,22.857
69,2.934
70,7.41
71,1.136
72,2.257
73,-0.285
78,0.2
80,0.752
85,-3.982
90,1.234
91,0.422
92,0.931
93,0.219
95,-0.297
103,9.677
105,0.091
106,-1.243
110,3.621
113,1.318
114,0.407
115,3.207
116,0.552
117,5.71
118,4.992
119,4.385
123,-2.963
124,-1.182
126,1.443
132,8.182
133,-5.013
134,-0.428
135,-0.357
136,0.922
137,0.034
138,-0.132
139,-1.63
140,-4.727
141,-0.493
142,-0.635
143,0.03
144,-2.551
145,-1.225
146,-0.655
147,-0.635
148,-0.282
149,-0.081
150,-2.2
151,-1.931
152,0.62
153,-0.73
154,-0.502
155,-0.261
156,-2.106
157,-2.278
158,-1.122
159,-0.813
160,4.282
161,15.926
162,-0.771
164,0.276
165,-1.302
166,0.132
175,0.578
180,0.399
190,0.133
193,0.472
200,0.016
211,-0.341
217,2.83
227,-25.015
243,-1.446
245,-0.026
247,0.155
249,0.553
266,1.312
270,0.467
271,-0.177
272,-1.404
273,0.238
277,0.041
278,2.987
279,3.53
283,3.655
312,-0.126
313,0.027
314,0.864
315,-0.27
316,0.633
323,7.087
325,-15.39
377,4.005
378,-3.674
379,-1.287
380,3.255
388,4.064
393,-0.686
394,-0.551
395,-0.021
459,0.203
461,1.064
463,-2.61
467,0.826
472,0.508
473,0.396
474,-0.708
475,3.167
476,0.335
477,2.737
478,6.137
479,9.222
481,6.445
482,4.823
484,6.29
486,5.72
490,6.807
492,7.73
493,8.541
494,8.86
495,10.359
496,9.938
497,7.017
500,3.582
513,5.82
514,1.457
515,0.939
516,-0.472
517,-0.846
520,9.29
521,6.461
522,6.137
523,-0.512
524,0.876
525,7.189
526,6.579
527,4.073
528,3.775
529,6.342
530,-7.824
531,-1.471
532,-0.729
533,6.19
534,-0.378
535,-6.359
536,0.683
537,-0.382
538,3.349
539,-25.96
540,0.863
541,0.079
542,0.787
543,2.932
544,0.032
545,-2.555
546,-2.813
547,17.474
548,1.098
549,-2.535
550,-1.566
551,1.436
552,0.3
553,3.158
554,-0.233
555,0.011
556,1.925
557,-3.019
558,-0.442
559,0.041
560,-4.747
561,-3.582
562,0.385
563,-7.743
566,-1.24
567,0.1
568,-0.979
569,-1.74
570,-1.377
571,-0.823
572,0.021
573,0.183
574,-0.035
575,-1.113
576,-0.152
577,-3.14
578,2.145
579,-1.251
580,1.245
581,-1.873
582,0.456
583,-2.3
584,-4.464
585,-2.387
586,22.02
587,-1.368
588,0.912
589,-2.343
590,2.394
591,3.914
592,-0.376
593,0.396
594,-1.788
595,0.152
596,5.226
608,-0.024
633,1.007
636,-4.635
649,0.585
650,-0.791
652,9.812
654,1.689
655,0.621
656,1.503
657,0.244
659,0.032
