fid,rel_200_500m
1,-0.265
2,-0.174
3,0.301
4,4.16
5,0.013
6,0.253
7,-1.241
8,-0.819
9,0.2
10,10.459
11,-0.566
12,1.654
13,-3.143
14,1.05
15,3.42
16,1.051
17,-1.308
18,0.116
19,3.786
20,-0.004
21,-0.778
22,0.371
23,12.528
24,-0.717
25,-1.53
26,0.989
27,-1.254
28,-3.055
29,0.274
30,1.058
31,4.46
32,1.153
33,-0.596
34,-1.478
35,-0.954
36,0.28
37,7.419
38,0.122
39,-0.467
40,-0.284
41,0.247
42,-6.034
43,-7.88
44,0.203
45,-0.685
46,0.051
47,-0.362
48,-1.397
49,0.308
50,1.604
51,0.557
52,0.069
53,13.916
54,-0.046
55,-2.305
56,0.606
57,-0.186
58,-0.109
59,0.532
60,0.083
61,0.386
62,0.657
63,0.396
64,-3.629
65,13.105
66,13.221
67,-2.57
68,0.891
69,0.015
70,-1.185
71,-0.093
72,1.995
73,-0.151
74,-0.034
75,0.128
76,-7.525
77,1.377
78,0.621
79,-2.247
80,0.836
81,-0.93
82,-0.139
83,-0.001
84,-0.468
85,1.107
86,0.666
87,-0.208
88,-0.176
89,-4.596
90,0.007
91,-0.107
92,-0.067
93,1.254
94,9.502
95,0.11
96,-2.384
97,-0.026
98,-0.773
99,-0.475
100,-0.769
101,7.308
102,-0.529
103,-22.029
104,-1.106
105,5.689
106,0.373
107,0.687
108,-0.696
109,-0.984
110,3.522
111,8.718
112,-7.222
113,15.186
114,1.157
115,6.695
116,3.644
117,0.435
118,-0.035
119,0.101
120,-0.689
121,-0.17
122,-1.583
123,3.564
124,2.077
125,0.9
126,-0.173
127,-2.007
128,-2.083
129,-0.016
130,0.078
131,0.435
132,-0.604
133,-24.949
134,-7.694
135,-10.87
136,0.213
137,-5.391
138,-16.212
139,-4.034
140,0.112
141,18.018
142,0.945
143,8.566
144,4.611
145,1.33
146,0.259
147,0.645
148,-1.355
149,-0.555
150,-0.108
151,0.345
152,0.616
153,0.784
154,7.761
155,0.343
156,-2.045
157,0.26
158,0.612
159,0.957
160,-0.88
161,1.612
162,0.185
163,3.357
164,0.496
165,0.979
166,-0.675
167,-2.054
168,-0.021
169,0.41
170,-5.179
171,-18.604
172,6.357
173,0.364
174,-0.344
175,0.383
176,-0.077
177,6.444
178,-0.554
179,-0.376
180,-0.44
181,-0.612
182,1.458
183,5.961
184,-0.86
185,2.888
186,-1.815
187,-0.272
188,0.463
189,2.374
190,0.025
191,-0.817
192,-0.298
193,-1.166
194,-2.559
195,-13.447
196,1.289
197,-2.171
198,0.111
199,-0.432
200,-0.482
201,-0.535
202,-0.401
203,9.83
204,0.988
205,0.029
206,-3.678
207,-0.266
208,-0.325
209,-0.495
210,-0.988
211,-1.189
212,-3.326
213,-5.999
214,-2.965
215,-1.189
216,1.354
217,4.163
218,0.101
219,0.272
220,1.004
221,-0.142
222,0.945
223,0.981
224,3.044
225,4.749
226,-0.368
227,0.404
228,-2.037
229,-4.137
230,4.926
231,-0.469
232,-1.193
233,3.001
234,-1.226
235,0.31
236,1.404
237,-0.83
238,0.084
239,-1.242
240,2.565
241,3.403
242,3.943
243,0.099
244,0.318
245,-0.041
246,-0.966
247,2.898
248,-0.364
249,0.647
250,0.096
251,-2.295
252,-3.181
253,-0.048
254,0.469
255,-0.315
256,-0.644
257,-0.696
258,-0.257
259,-1.381
260,4.332
261,-0.042
262,1.768
263,-1.502
264,-1.611
265,0.0
266,14.984
267,4.615
268,8.705
269,-0.129
270,0.016
271,-4.135
272,0.048
273,0.449
274,-0.169
