fid,rel_100_250m
2,-1.129
3,2.174
6,1.327
7,9.762
8,1.084
12,0.497
14,0.176
15,1.43
16,1.682
17,0.726
19,0.03
20,3.607
21,-0.459
22,1.007
23,-0.101
27,6.839
29,-2.396
31,-0.048
32,-1.767
33,-4.09
34,0.623
35,-2.429
36,-0.856
37,2.386
38,11.672
39,-0.082
43,0.602
44,1.984
45,0.987
49,14.795
50,4.426
51,3.318
52,0.828
53,-0.055
54,2.898
55,-2.613
56,0.869
57,-0.887
58,0.181
59,7.798
60,1.463
62,0.687
92,0.926
105,-0.794
106,-0.248
132,7.341
140,-3.541
211,-0.262
227,-6.812
247,-0.412
279,0.844
312,1.452
313,0.183
314,0.247
315,0.436
472,-0.365
473,-0.22
475,6.299
476,-0.172
477,-1.724
478,3.937
479,11.006
492,5.92
515,0.223
524,0.012
527,8.131
530,-2.604
531,-0.758
532,-0.911
533,6.575
534,0.356
536,0.209
537,-0.058
538,2.66
539,-6.836
547,11.884
548,0.163
549,-0.047
550,-0.486
551,1.524
553,5.727
656,0.79
657,-0.414
