fid,rel_200_500m
63,0.317
64,0.453
65,-0.553
66,-3.813
67,0.394
68,22.857
70,7.41
72,2.257
73,-0.285
78,0.2
85,-3.982
91,0.422
93,0.219
95,-0.297
114,0.407
115,3.207
117,5.71
118,4.992
119,4.385
123,-2.963
124,-1.182
133,-5.013
134,-0.428
135,-0.357
136,0.922
137,0.034
138,-0.132
139,-1.63
141,-0.493
142,-0.635
143,0.03
144,-2.551
145,-1.225
146,-0.655
147,-0.635
148,-0.282
149,-0.081
150,-2.2
151,-1.931
152,0.62
153,-0.73
154,-0.502
155,-0.261
156,-2.106
157,-2.278
158,-1.122
159,-0.813
160,4.282
161,15.926
162,-0.771
164,0.276
165,-1.302
166,0.132
175,0.578
190,0.133
193,0.472
200,0.016
217,2.83
243,-1.446
245,-0.026
249,0.553
266,1.312
270,0.467
271,-0.177
272,-1.404
273,0.238
277,0.041
278,2.987
316,0.633
323,7.087
325,-15.39
377,4.005
378,-3.674
379,-1.287
380,3.255
388,4.064
393,-0.686
394,-0.551
395,-0.021
459,0.203
461,1.064
463,-2.61
467,0.826
482,4.823
484,6.29
486,5.72
493,8.541
494,8.86
495,10.359
497,7.017
500,3.582
554,-0.233
555,0.011
558,-0.442
559,0.041
560,-4.747
561,-3.582
563,-7.743
566,-1.24
567,0.1
568,-0.979
569,-1.74
570,-1.377
571,-0.823
572,0.021
573,0.183
574,-0.035
575,-1.113
576,-0.152
577,-3.14
578,2.145
579,-1.251
580,1.245
581,-1.873
582,0.456
583,-2.3
584,-4.464
585,-2.387
586,22.02
587,-1.368
588,0.912
589,-2.343
590,2.394
591,3.914
593,0.396
594,-1.788
595,0.152
596,5.226
608,-0.024
633,1.007
636,-4.635
649,0.585
650,-0.791
652,9.812
654,1.689
655,0.621
659,0.032
