sloj,radijus,n,mean,median,sd,iqr,q1,q3,min,max,skewness,kurtosis
random_ceste_biased,1000,274,0.399023,0.225428,0.443721,0.733684,0.0,0.733684,0.0,2.015722,0.775,-0.2739
nasumicni_lokaliteti_umjetno_generirani,1000,274,0.364716,0.090242,0.442202,0.706993,0.0,0.706993,0.0,1.945755,0.9588,-0.014
neolitik_svi_odredeni,1000,274,0.496198,0.567846,0.442471,0.808616,0.0,0.808616,0.0,2.161394,0.4018,-0.4875
neolitik_c_starcevacka,1000,137,0.485264,0.488784,0.448446,0.764987,0.0,0.764987,0.0,2.161394,0.6482,0.2083
neolitik_c_sop_kor_len,1000,191,0.47981,0.565889,0.451687,0.794957,0.0,0.794957,0.0,2.161394,0.4733,-0.3985
kontinuirana_naselja,1000,54,0.410494,0.257725,0.482468,0.724338,0.0,0.724338,0.0,2.161394,1.2045,1.5666
samo_rani,1000,83,0.533909,0.569802,0.420725,0.749884,0.074401,0.824285,0.0,1.769433,0.2439,-0.6912
samo_srednji_kasni,1000,137,0.507131,0.655342,0.437786,0.833179,0.0,0.833179,0.0,1.508253,0.1413,-1.2022
random_ceste_biased,2000,274,0.367816,0.376044,0.271812,0.408358,0.151418,0.559776,0.0,1.137308,0.356,-0.437
nasumicni_lokaliteti_umjetno_generirani,2000,274,0.346312,0.337184,0.287959,0.48762,0.06515,0.552769,0.0,1.167449,0.4703,-0.7081
neolitik_svi_odredeni,2000,274,0.393156,0.389104,0.251329,0.325791,0.225314,0.551105,0.0,1.190292,0.2777,-0.1524
neolitik_c_starcevacka,2000,137,0.377799,0.381939,0.261211,0.293327,0.189857,0.483184,0.0,1.190292,0.5515,0.2435
neolitik_c_sop_kor_len,2000,191,0.381594,0.386329,0.24808,0.342778,0.206983,0.549761,0.0,1.121562,0.1702,-0.3886
kontinuirana_naselja,2000,54,0.313298,0.323028,0.254833,0.364943,0.079579,0.444522,0.0,1.121562,0.7378,0.6761
samo_rani,2000,83,0.419764,0.390542,0.258202,0.290056,0.262518,0.552574,0.0,1.190292,0.4824,0.1635
samo_srednji_kasni,2000,137,0.408513,0.399899,0.24102,0.328385,0.263287,0.591672,0.0,1.001841,-0.0353,-0.556
