sloj,kombinacija,inner_r_m,outer_r_m,n,mean,median,sd,iqr,q1,q3,min,max,skewness,kurtosis
random_ceste_biased,100/250 m,100,250,274,0.0477,0.102,2.5838,1.4008,-0.607,0.7938,-12.608,7.98,-1.0264,5.9079
random_ceste_biased,100/500 m,100,500,274,0.2004,0.01,5.02,2.1825,-1.0012,1.1812,-26.339,18.043,-0.9241,8.4587
random_ceste_biased,100/1000 m,100,1000,274,0.1697,-0.113,7.8718,3.091,-1.5125,1.5785,-40.475,37.792,-0.2238,8.8283
random_ceste_biased,200/500 m,200,500,274,0.2349,0.01,4.4291,1.717,-0.772,0.945,-24.949,18.018,-0.7183,9.3488
random_ceste_biased,200/1000 m,200,1000,274,0.1795,-0.1255,7.4096,2.4878,-1.3218,1.166,-37.229,42.64,0.1634,10.2179
random_ceste_biased,500/1000 m,500,1000,274,-0.0404,-0.1735,7.0076,1.7955,-1.029,0.7665,-26.244,75.374,4.1267,49.742
nasumicni_lokaliteti_umjetno_generirani,100/250 m,100,250,274,0.1048,-0.0185,5.0307,1.7285,-0.827,0.9015,-22.531,23.562,0.4768,6.6213
nasumicni_lokaliteti_umjetno_generirani,100/500 m,100,500,274,0.4472,-0.0775,9.5203,2.6598,-1.3925,1.2672,-48.482,40.36,0.216,6.0803
nasumicni_lokaliteti_umjetno_generirani,100/1000 m,100,1000,274,1.104,-0.155,15.8606,4.5072,-1.936,2.5712,-84.539,87.648,1.2753,10.7831
nasumicni_lokaliteti_umjetno_generirani,200/500 m,200,500,274,0.4499,-0.035,8.2006,2.4438,-1.263,1.1808,-41.486,37.006,0.4667,6.4323
nasumicni_lokaliteti_umjetno_generirani,200/1000 m,200,1000,274,1.0854,-0.2435,14.7321,4.0915,-1.8698,2.2218,-75.036,84.804,1.6106,11.8168
nasumicni_lokaliteti_umjetno_generirani,500/1000 m,500,1000,274,0.8829,-0.21,12.0745,2.8545,-1.6195,1.235,-49.57,82.575,2.1511,13.388
neolitik_svi_odredeni,100/250 m,100,250,274,1.5407,0.5575,3.3778,2.3968,-0.2198,2.177,-7.799,15.715,1.4325,3.1265
neolitik_svi_odredeni,100/500 m,100,500,274,1.7274,0.4625,5.9622,3.7368,-0.608,3.1288,-25.911,28.962,0.7324,6.9266
neolitik_svi_odredeni,100/1000 m,100,1000,274,0.9276,0.2775,8.7942,4.4778,-1.326,3.1518,-42.753,44.199,-0.2156,7.4121
neolitik_svi_odredeni,200/500 m,200,500,274,0.8374,0.1535,4.9474,2.4285,-0.786,1.6425,-25.96,22.857,0.162,9.3372
neolitik_svi_odredeni,200/1000 m,200,1000,274,-0.0373,-0.1125,7.7303,3.2655,-1.7618,1.5038,-40.915,36.605,-0.708,7.9396
neolitik_svi_odredeni,500/1000 m,500,1000,274,-0.9925,-0.3065,5.343,2.2432,-1.7445,0.4988,-24.394,21.258,-1.0321,5.4259
neolitik_c_starcevacka,100/250 m,100,250,137,1.6882,0.856,3.4575,2.468,-0.082,2.386,-6.836,14.795,1.0969,1.9432
neolitik_c_starcevacka,100/500 m,100,500,137,1.9376,0.976,6.4009,3.829,-0.246,3.583,-25.911,25.856,-0.1163,5.9433
neolitik_c_starcevacka,100/1000 m,100,1000,137,0.944,0.651,9.3251,5.07,-1.109,3.961,-42.753,30.297,-1.2772,6.0515
neolitik_c_starcevacka,200/500 m,200,500,137,0.979,0.399,5.475,3.211,-0.474,2.737,-25.96,22.312,-0.7892,8.6921
neolitik_c_starcevacka,200/1000 m,200,1000,137,-0.1067,0.255,8.2924,4.077,-1.429,2.648,-40.915,22.423,-1.7493,7.1485
neolitik_c_starcevacka,500/1000 m,500,1000,137,-1.2427,-0.215,5.6242,2.655,-1.912,0.743,-24.394,9.916,-1.7277,4.5939
neolitik_c_sop_kor_len,100/250 m,100,250,191,1.5865,0.637,3.1806,2.4165,-0.194,2.2225,-7.799,15.715,1.5743,3.6806
neolitik_c_sop_kor_len,100/500 m,100,500,191,1.9148,0.416,5.2509,3.8305,-0.6345,3.196,-17.838,28.962,1.7165,7.0564
neolitik_c_sop_kor_len,100/1000 m,100,1000,191,1.3661,0.164,7.7407,4.4845,-1.307,3.1775,-33.318,44.199,1.0801,8.4961
neolitik_c_sop_kor_len,200/500 m,200,500,191,1.0316,0.132,4.1964,2.8695,-0.8345,2.035,-15.39,22.857,1.6235,7.5415
neolitik_c_sop_kor_len,200/1000 m,200,1000,191,0.3977,-0.144,6.7169,3.092,-1.5915,1.5005,-30.011,36.605,0.7326,7.8799
neolitik_c_sop_kor_len,500/1000 m,500,1000,191,-0.6498,-0.371,4.738,1.983,-1.5325,0.4505,-21.126,21.258,-0.201,6.0026
kontinuirana_naselja,100/250 m,100,250,54,2.077,1.2785,2.8182,2.3095,0.4148,2.7242,-3.838,9.299,0.8483,0.1728
