fid,strahler
1,1
2,2
3,3
4,3
5,1
6,2
7,3
8,6
9,1
10,1
11,1
12,1
13,1
14,6
15,1
16,3
17,6
18,2
19,1
20,6
21,1
22,2
23,3
24,1
25,1
26,7
27,3
28,1
29,1
30,4
31,1
32,1
33,1
34,2
35,2
36,1
37,1
38,1
39,2
40,1
41,2
42,1
43,1
44,1
45,6
46,1
47,3
48,1
49,6
50,3
51,1
52,1
53,7
54,3
55,1
56,1
57,2
58,1
59,3
60,1
61,2
62,6
63,1
64,6
65,1
66,1
67,2
68,2
69,3
70,1
71,6
72,1
73,3
74,1
75,1
76,6
77,1
78,1
79,3
80,6
81,1
82,2
83,2
84,1
85,1
86,3
87,2
88,1
89,2
90,1
91,1
92,3
93,1
94,4
95,2
96,1
97,1
98,1
99,2
100,6
101,1
102,1
103,1
104,7
105,2
106,1
107,1
108,2
109,2
110,4
111,1
112,1
113,1
114,1
115,1
116,3
117,1
118,1
119,1
120,4
121,1
122,6
123,1
124,1
125,6
126,3
127,1
128,1
129,1
130,3
131,2
132,1
133,1
134,1
135,1
136,1
137,1
138,3
139,1
140,3
141,1
142,3
143,1
144,1
145,1
146,2
147,1
148,1
149,1
150,1
151,1
152,2
153,1
154,1
155,1
156,2
157,1
158,6
159,2
160,3
161,1
162,1
163,1
164,1
165,1
166,1
167,2
168,1
169,1
170,2
171,1
172,2
173,6
174,1
175,1
176,6
177,1
178,1
179,1
180,2
181,4
182,2
183,7
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,3
193,2
194,1
195,1
196,1
197,2
198,1
199,1
200,1
201,1
202,2
203,2
204,1
205,6
206,3
207,1
208,1
209,1
210,1
211,2
212,1
213,1
214,2
215,2
216,6
217,1
218,1
219,1
220,1
221,1
222,6
223,1
224,6
225,2
226,2
227,2
228,1
229,4
230,2
231,1
232,2
233,1
234,2
235,1
236,6
237,2
238,1
239,1
240,1
241,1
242,1
243,2
244,1
245,1
246,2
247,2
248,1
249,3
250,2
251,2
252,1
253,2
254,2
255,2
256,4
257,1
258,1
259,1
260,1
261,3
262,1
263,1
264,1
265,1
266,1
267,1
268,3
269,1
270,1
271,2
272,4
273,1
274,3
