fid,strahler
1,2
2,1
3,7
4,1
5,1
6,1
7,3
8,1
9,2
11,6
12,2
14,2
15,3
16,3
17,3
18,3
19,2
20,1
21,2
22,1
23,2
25,1
26,1
27,3
28,2
29,3
30,2
31,1
32,2
33,2
34,3
35,1
36,7
37,1
38,1
39,3
40,2
41,2
42,2
43,3
44,2
45,3
48,1
49,1
50,1
51,3
52,6
53,2
54,2
55,1
56,1
57,6
58,1
59,1
60,3
62,1
69,1
71,4
80,1
90,1
92,1
103,7
105,1
106,2
110,7
113,3
116,1
126,3
132,2
140,1
180,1
211,2
227,1
247,1
279,1
283,1
312,6
313,6
314,2
315,2
472,2
473,1
474,6
475,2
476,3
477,1
478,2
479,1
481,1
490,1
492,7
496,7
513,1
514,1
515,3
516,3
517,3
520,7
521,1
522,1
523,1
524,2
525,2
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,2
537,3
538,3
539,1
540,3
541,1
542,1
543,1
544,3
545,3
546,1
547,1
548,6
549,1
550,2
551,6
552,7
553,7
556,1
557,1
562,1
592,6
656,1
657,4
