fid,strahler
1,1
2,6
3,1
4,1
5,1
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,2
14,1
15,1
16,1
17,2
18,3
19,3
20,1
21,6
22,3
23,1
24,1
25,1
26,1
27,1
28,1
29,6
30,3
31,1
32,6
33,3
34,6
35,6
36,1
37,1
38,1
39,1
40,4
41,4
42,1
43,1
44,1
45,2
46,1
47,1
48,2
49,6
50,2
51,1
52,3
53,2
54,1
55,1
56,6
57,2
58,1
59,1
60,1
61,1
62,6
63,4
64,3
65,1
66,1
67,4
68,3
69,1
70,2
71,2
72,2
73,6
74,1
75,1
76,1
77,1
78,2
79,3
80,2
81,2
82,1
83,6
84,1
85,3
86,4
87,2
88,1
89,1
90,3
91,1
92,1
93,6
94,1
95,2
96,1
97,6
98,3
99,1
100,3
101,2
102,1
103,1
104,6
105,1
106,6
107,1
108,1
109,2
110,2
111,1
112,1
113,7
114,6
115,2
116,2
117,1
118,1
119,1
120,6
121,1
122,6
123,1
124,1
125,6
126,2
127,1
128,3
129,3
130,1
131,6
132,2
133,1
134,1
135,1
136,2
137,1
138,1
139,2
140,2
141,1
142,6
143,1
144,1
145,6
146,2
147,7
148,6
149,1
150,2
151,1
152,6
153,1
154,1
155,6
156,1
157,1
158,6
159,6
160,4
161,1
162,2
163,1
164,1
165,6
166,3
167,2
168,6
169,1
170,1
171,1
172,6
173,1
174,1
175,6
176,1
177,1
178,3
179,6
180,1
181,1
182,1
183,1
184,2
185,1
186,6
187,1
188,1
189,6
190,1
191,1
192,1
193,1
194,3
195,1
196,6
197,1
198,1
199,1
200,6
201,6
202,1
203,1
204,2
205,7
206,6
207,1
208,4
209,3
210,2
211,1
212,1
213,7
214,1
215,1
216,2
217,1
218,1
219,1
220,1
221,1
222,2
223,3
224,3
225,1
226,1
227,6
228,3
229,7
230,1
231,1
232,1
233,6
234,6
235,2
236,3
237,2
238,1
239,1
240,1
241,1
242,4
243,6
244,1
245,1
246,2
247,2
248,1
249,6
250,1
251,1
252,6
253,2
254,1
255,3
256,1
257,1
258,6
259,1
260,7
261,2
262,7
263,7
264,6
265,7
266,1
267,2
268,1
269,2
270,6
271,1
272,1
273,1
274,6
