fid,vecinski_tip_tla
1,Luvisols
2,Gleysols
3,Gleysols
4,Luvisols
5,Luvisols
6,Luvisols
7,Gleysols
8,Gleysols
9,Cambisols
10,Luvisols
11,Cambisols
12,Cambisols
13,Cambisols
14,Gleysols
15,Luvisols
16,Gleysols
17,Gleysols
18,Luvisols
19,Gleysols
20,Fluvisols
21,Cambisols
22,Gleysols
23,Gleysols
24,Cambisols
25,Cambisols
26,Cambisols
27,Gleysols
28,Luvisols
29,Gleysols
30,Gleysols
31,Luvisols
32,Luvisols
33,Cambisols
34,Fluvisols
35,Luvisols
36,Gleysols
37,Fluvisols
38,Luvisols
39,Luvisols
40,Cambisols
41,Cambisols
42,Gleysols
43,Cambisols
44,Luvisols
45,Fluvisols
46,Gleysols
47,Gleysols
48,Cambisols
49,Gleysols
50,Gleysols
51,Cambisols
52,Fluvisols
53,Fluvisols
54,Luvisols
55,Luvisols
56,Cambisols
57,Gleysols
58,Luvisols
59,Cambisols
60,Cambisols
61,Luvisols
62,Fluvisols
63,Cambisols
64,Gleysols
65,Cambisols
66,Gleysols
67,Gleysols
68,Cambisols
69,Gleysols
70,Cambisols
71,Fluvisols
72,Cambisols
73,Gleysols
74,Cambisols
75,Luvisols
76,Gleysols
77,Cambisols
78,Cambisols
79,Gleysols
80,Gleysols
81,Luvisols
82,Gleysols
83,Gleysols
84,Cambisols
85,Gleysols
86,Gleysols
87,Cambisols
88,Gleysols
89,Gleysols
90,Luvisols
91,Gleysols
92,Gleysols
93,Cambisols
94,Luvisols
95,Luvisols
96,Gleysols
97,Gleysols
98,Cambisols
99,Luvisols
100,Gleysols
101,Luvisols
102,Cambisols
103,Gleysols
104,Fluvisols
105,Luvisols
106,Cambisols
107,Luvisols
108,Gleysols
109,Cambisols
110,Gleysols
111,Gleysols
112,Luvisols
113,Gleysols
114,Gleysols
115,Cambisols
116,Gleysols
117,Cambisols
118,Cambisols
119,Cambisols
120,Gleysols
121,Gleysols
122,Fluvisols
123,Luvisols
124,Cambisols
125,Cambisols
126,Gleysols
127,Gleysols
128,Luvisols
129,Luvisols
130,Gleysols
131,Fluvisols
132,Luvisols
133,Cambisols
134,Luvisols
135,Luvisols
136,Gleysols
137,Luvisols
138,Gleysols
139,Luvisols
140,Gleysols
141,Cambisols
142,Gleysols
143,Luvisols
144,Cambisols
145,Cambisols
146,Cambisols
147,Luvisols
148,Luvisols
149,Cambisols
150,Cambisols
151,Cambisols
152,Cambisols
153,Luvisols
154,Gleysols
155,Luvisols
156,Gleysols
157,Cambisols
158,Gleysols
159,Gleysols
160,Gleysols
161,Fluvisols
162,Gleysols
163,Cambisols
164,Cambisols
165,Fluvisols
166,Cambisols
167,Gleysols
168,Gleysols
169,Gleysols
170,Luvisols
171,Gleysols
172,Gleysols
173,Fluvisols
174,Luvisols
175,Cambisols
176,Fluvisols
177,Luvisols
178,Cambisols
179,Luvisols
180,Luvisols
181,Gleysols
182,Cambisols
183,Gleysols
184,Fluvisols
185,Gleysols
186,Cambisols
187,Cambisols
188,Cambisols
189,Cambisols
190,Cambisols
191,Cambisols
192,Gleysols
193,Fluvisols
194,Cambisols
195,Cambisols
196,Cambisols
197,Cambisols
198,Cambisols
199,Luvisols
200,Luvisols
201,Cambisols
202,Gleysols
203,Gleysols
204,Gleysols
205,Fluvisols
206,Gleysols
207,Cambisols
208,Luvisols
209,Cambisols
210,Gleysols
211,Gleysols
212,Luvisols
213,Luvisols
214,Gleysols
215,Luvisols
216,Fluvisols
217,Luvisols
218,Cambisols
219,Cambisols
220,Cambisols
221,Luvisols
222,Gleysols
223,Cambisols
224,Fluvisols
225,Gleysols
226,Luvisols
227,Gleysols
228,Cambisols
229,Gleysols
230,Luvisols
231,Cambisols
232,Cambisols
233,Cambisols
234,Cambisols
235,Calcisols
236,Gleysols
237,Gleysols
238,Luvisols
239,Cambisols
240,Cambisols
241,Gleysols
242,Gleysols
243,Gleysols
244,Cambisols
245,Luvisols
246,Cambisols
247,Cambisols
248,Luvisols
249,Gleysols
250,Cambisols
251,Luvisols
252,Cambisols
253,Luvisols
254,Gleysols
255,Luvisols
256,Gleysols
257,Cambisols
258,Gleysols
259,Cambisols
260,Cambisols
261,Gleysols
262,Gleysols
263,Luvisols
264,Cambisols
265,Cambisols
266,Cambisols
267,Cambisols
268,Luvisols
269,Cambisols
270,Cambisols
271,Gleysols
272,Gleysols
273,Gleysols
274,Cambisols
