fid,vecinski_tip_tla
1,Luvisols
2,Cambisols
3,Cambisols
4,Gleysols
5,Cambisols
6,Gleysols
7,Gleysols
8,Luvisols
9,Luvisols
11,Gleysols
12,Luvisols
14,Gleysols
15,Cambisols
16,Cambisols
17,Cambisols
18,Cambisols
19,Gleysols
20,Fluvisols
21,Gleysols
22,Luvisols
23,Gleysols
25,Cambisols
26,Cambisols
27,Luvisols
28,Luvisols
29,Gleysols
30,Luvisols
31,Luvisols
32,Luvisols
33,Luvisols
34,Cambisols
35,Cambisols
36,Cambisols
37,Cambisols
38,Cambisols
39,Gleysols
40,Gleysols
41,Cambisols
42,Gleysols
43,Gleysols
44,Luvisols
45,Gleysols
48,Gleysols
49,Cambisols
50,Cambisols
51,Gleysols
52,Gleysols
53,Cambisols
54,Cambisols
55,Cambisols
56,Luvisols
57,Gleysols
58,Luvisols
59,Cambisols
60,Gleysols
62,Gleysols
69,Luvisols
71,Luvisols
80,Cambisols
90,Cambisols
92,Cambisols
103,Gleysols
105,Cambisols
106,Gleysols
110,Cambisols
113,Gleysols
116,Luvisols
126,Gleysols
132,Luvisols
140,Gleysols
180,Luvisols
211,Gleysols
227,Cambisols
247,Luvisols
279,Luvisols
283,Luvisols
312,Gleysols
313,Gleysols
314,Luvisols
315,Luvisols
472,Cambisols
473,Gleysols
474,Cambisols
475,Luvisols
476,Luvisols
477,Luvisols
478,Luvisols
479,Cambisols
481,Gleysols
490,Cambisols
492,Cambisols
496,Cambisols
513,Fluvisols
514,Luvisols
515,Cambisols
516,Cambisols
517,Cambisols
520,Luvisols
521,Cambisols
522,Cambisols
523,Cambisols
524,Gleysols
525,Luvisols
526,Gleysols
527,Cambisols
528,Cambisols
529,Cambisols
530,Cambisols
531,Luvisols
532,Luvisols
533,Luvisols
534,Luvisols
535,Luvisols
536,Luvisols
537,Gleysols
538,Gleysols
539,Cambisols
540,Cambisols
541,Cambisols
542,Cambisols
543,Cambisols
544,Cambisols
545,Cambisols
546,Cambisols
547,Cambisols
548,Fluvisols
549,Luvisols
550,Luvisols
551,Gleysols
552,Cambisols
553,Cambisols
556,Luvisols
557,Luvisols
562,Luvisols
592,Gleysols
656,Fluvisols
657,Gleysols
