fid,vecinski_tip_tla
1,Calcisols
2,Gleysols
3,Gleysols
4,Fluvisols
5,Cambisols
6,Cambisols
7,Gleysols
8,Luvisols
9,Gleysols
10,Cambisols
11,Luvisols
12,Cambisols
13,Luvisols
14,Luvisols
15,Cambisols
16,Luvisols
17,Luvisols
18,Gleysols
19,Gleysols
20,Fluvisols
21,Fluvisols
22,Gleysols
23,Cambisols
24,Gleysols
25,Gleysols
26,Luvisols
27,Luvisols
28,Luvisols
29,Fluvisols
30,Gleysols
31,Gleysols
32,Fluvisols
33,Gleysols
34,Gleysols
35,Fluvisols
36,Cambisols
37,Cambisols
38,Fluvisols
39,Fluvisols
40,Gleysols
41,Fluvisols
42,Gleysols
43,Cambisols
44,Fluvisols
45,Gleysols
46,Luvisols
47,Gleysols
48,Chernozems
49,Fluvisols
50,Gleysols
51,Chernozems
52,Gleysols
53,Cambisols
54,Gleysols
55,Luvisols
56,Fluvisols
57,Luvisols
58,Gleysols
59,Cambisols
60,Gleysols
61,Gleysols
62,Gleysols
63,Luvisols
64,Gleysols
65,Cambisols
66,Cambisols
67,Luvisols
68,Gleysols
69,Gleysols
70,Chernozems
71,Gleysols
72,Cambisols
73,Gleysols
74,Gleysols
75,Gleysols
76,Cambisols
77,Gleysols
78,Gleysols
79,Fluvisols
80,Cambisols
81,Cambisols
82,Gleysols
83,Gleysols
84,Luvisols
85,Gleysols
86,Gleysols
87,Cambisols
88,Luvisols
89,Gleysols
90,Gleysols
91,Luvisols
92,Gleysols
93,Fluvisols
94,Luvisols
95,Gleysols
96,Luvisols
97,Fluvisols
98,Gleysols
99,Gleysols
100,Luvisols
101,Cambisols
102,Gleysols
103,Cambisols
104,Fluvisols
105,Gleysols
106,Fluvisols
107,Luvisols
108,Luvisols
109,Cambisols
110,Gleysols
111,Luvisols
112,Cambisols
113,Cambisols
114,Luvisols
115,Luvisols
116,Luvisols
117,Gleysols
118,Gleysols
119,Luvisols
120,Fluvisols
121,Gleysols
122,Fluvisols
123,Luvisols
124,Gleysols
125,Luvisols
126,Gleysols
127,Luvisols
128,Cambisols
129,Gleysols
130,Luvisols
131,Gleysols
132,Gleysols
133,Cambisols
134,Luvisols
135,Luvisols
136,Gleysols
137,Fluvisols
138,Cambisols
139,Cambisols
140,Gleysols
141,Cambisols
142,Fluvisols
143,Cambisols
144,Fluvisols
145,Gleysols
146,Gleysols
147,Cambisols
148,Gleysols
149,Gleysols
150,Cambisols
151,Gleysols
152,Fluvisols
153,Cambisols
154,Luvisols
155,Fluvisols
156,Gleysols
157,Gleysols
158,Fluvisols
159,Gleysols
160,Gleysols
161,Cambisols
162,Gleysols
163,Gleysols
164,Fluvisols
165,Fluvisols
166,Gleysols
167,Luvisols
168,Cambisols
169,Gleysols
170,Luvisols
171,Cambisols
172,Gleysols
173,Cambisols
174,Cambisols
175,Fluvisols
176,Luvisols
177,Gleysols
178,Gleysols
179,Gleysols
180,Cambisols
181,Gleysols
182,Gleysols
183,Cambisols
184,Luvisols
185,Luvisols
186,Fluvisols
187,Luvisols
188,Luvisols
189,Fluvisols
190,Fluvisols
191,Cambisols
192,Gleysols
193,Luvisols
194,Cambisols
195,Cambisols
196,Gleysols
197,Cambisols
198,Luvisols
199,Gleysols
200,Fluvisols
201,Fluvisols
202,Fluvisols
203,Cambisols
204,Gleysols
205,Fluvisols
206,Gleysols
207,Luvisols
208,Gleysols
209,Gleysols
210,Gleysols
211,Luvisols
212,Luvisols
213,Cambisols
214,Fluvisols
215,Gleysols
216,Cambisols
217,Cambisols
218,Gleysols
219,Fluvisols
220,Luvisols
221,Cambisols
222,Luvisols
223,Gleysols
224,Luvisols
225,Cambisols
226,Luvisols
227,Fluvisols
228,Gleysols
229,Fluvisols
230,Cambisols
231,Gleysols
232,Luvisols
233,Gleysols
234,Gleysols
235,Gleysols
236,Gleysols
237,Cambisols
238,Gleysols
239,Luvisols
240,Luvisols
241,Luvisols
242,Luvisols
243,Fluvisols
244,Gleysols
245,Cambisols
246,Gleysols
247,Gleysols
248,Gleysols
249,Luvisols
250,Fluvisols
251,Luvisols
252,Fluvisols
253,Luvisols
254,Cambisols
255,Gleysols
256,Luvisols
257,Gleysols
258,Cambisols
259,Luvisols
260,Chernozems
261,Gleysols
262,Gleysols
263,Luvisols
264,Fluvisols
265,Fluvisols
266,Cambisols
267,Luvisols
268,Cambisols
269,Cambisols
270,Fluvisols
271,Cambisols
272,Luvisols
273,Luvisols
274,Gleysols
