fid,vecinski_tip_tla
2,Cambisols
3,Cambisols
6,Gleysols
7,Gleysols
8,Luvisols
12,Luvisols
14,Gleysols
15,Cambisols
16,Cambisols
17,Cambisols
19,Gleysols
20,Fluvisols
21,Gleysols
22,Luvisols
23,Gleysols
27,Cambisols
29,Luvisols
31,Luvisols
32,Luvisols
33,Luvisols
34,Cambisols
35,Cambisols
36,Cambisols
37,Cambisols
38,Cambisols
39,Gleysols
43,Gleysols
44,Luvisols
45,Gleysols
49,Cambisols
50,Cambisols
51,Luvisols
52,Gleysols
53,Cambisols
54,Luvisols
55,Cambisols
56,Luvisols
57,Gleysols
58,Luvisols
59,Cambisols
60,Gleysols
62,Gleysols
92,Cambisols
105,Cambisols
106,Gleysols
132,Gleysols
140,Luvisols
211,Gleysols
227,Cambisols
247,Luvisols
279,Luvisols
312,Gleysols
313,Gleysols
314,Luvisols
315,Luvisols
472,Luvisols
473,Gleysols
475,Luvisols
476,Luvisols
477,Luvisols
478,Luvisols
479,Fluvisols
492,Cambisols
515,Cambisols
524,Gleysols
527,Cambisols
530,Cambisols
531,Luvisols
532,Luvisols
533,Luvisols
534,Luvisols
536,Luvisols
537,Gleysols
538,Gleysols
539,Cambisols
547,Cambisols
548,Gleysols
549,Luvisols
550,Luvisols
551,Gleysols
553,Cambisols
656,Fluvisols
657,Luvisols
