fid,vecinski_tip_tla
63,Gleysols
64,Luvisols
65,Cambisols
66,Gleysols
67,Gleysols
68,Luvisols
70,Cambisols
72,Gleysols
73,Cambisols
78,Gleysols
85,Cambisols
91,Cambisols
93,Cambisols
95,Cambisols
114,Luvisols
115,Luvisols
117,Luvisols
118,Luvisols
119,Luvisols
123,Luvisols
124,Luvisols
133,Luvisols
134,Gleysols
135,Luvisols
136,Luvisols
137,Luvisols
138,Gleysols
139,Luvisols
141,Luvisols
142,Luvisols
143,Luvisols
144,Gleysols
145,Luvisols
146,Cambisols
147,Cambisols
148,Gleysols
149,Gleysols
150,Luvisols
151,Luvisols
152,Cambisols
153,Cambisols
154,Gleysols
155,Gleysols
156,Cambisols
157,Cambisols
158,Cambisols
159,Cambisols
160,Fluvisols
161,Luvisols
162,Gleysols
164,Luvisols
165,Fluvisols
166,Gleysols
175,Gleysols
190,Gleysols
193,Gleysols
200,Luvisols
217,Luvisols
243,Luvisols
245,Luvisols
249,Gleysols
266,Cambisols
270,Gleysols
271,Gleysols
272,Gleysols
273,Luvisols
277,Gleysols
278,Luvisols
316,Gleysols
323,Cambisols
325,Cambisols
377,Luvisols
378,Luvisols
379,Luvisols
380,Luvisols
388,Luvisols
393,Gleysols
394,Gleysols
395,Gleysols
459,Gleysols
461,Luvisols
463,Fluvisols
467,Luvisols
482,Gleysols
484,Luvisols
486,Gleysols
493,Gleysols
494,Gleysols
495,Gleysols
497,Gleysols
500,Cambisols
554,Gleysols
555,Gleysols
558,Gleysols
559,Gleysols
560,Cambisols
561,Cambisols
563,Cambisols
566,Gleysols
567,Cambisols
568,Cambisols
569,Cambisols
570,Cambisols
571,Cambisols
572,Gleysols
573,Luvisols
574,Luvisols
575,Cambisols
576,Gleysols
577,Gleysols
578,Luvisols
579,Cambisols
580,Gleysols
581,Cambisols
582,Cambisols
583,Luvisols
584,Luvisols
585,Cambisols
586,Cambisols
587,Luvisols
588,Gleysols
589,Luvisols
590,Cambisols
591,Cambisols
593,Luvisols
594,Cambisols
595,Gleysols
596,Luvisols
608,Luvisols
633,Luvisols
636,Cambisols
649,Gleysols
650,Gleysols
652,Cambisols
654,Gleysols
655,Gleysols
659,Gleysols
