group,fid,dist_rijeka_m
naselje,1,1213.32
naselje,2,324.82
naselje,3,696.96
naselje,4,1037.76
naselje,5,834.39
naselje,6,283.32
naselje,7,132.61
naselje,8,171.43
naselje,9,229.58
naselje,11,2151.34
naselje,12,123.42
naselje,14,2424.9
naselje,15,101.13
naselje,16,148.11
naselje,17,77.63
naselje,18,113.27
naselje,19,1751.96
naselje,20,109.06
naselje,21,452.09
naselje,22,2734.93
naselje,23,1355.6
naselje,25,2688.71
naselje,26,3370.56
naselje,27,191.74
naselje,28,440.69
naselje,29,68.53
naselje,30,865.42
naselje,31,1643.45
naselje,32,476.46
naselje,33,84.69
naselje,34,355.62
naselje,35,1276.91
naselje,36,91.92
naselje,37,520.29
naselje,38,325.75
naselje,39,416.45
naselje,40,1690.6
naselje,41,156.76
naselje,42,1209.61
naselje,43,119.31
naselje,44,280.41
naselje,45,897.5
naselje,48,2302.22
naselje,49,2048.05
naselje,50,569.1
naselje,51,188.27
naselje,52,727.21
naselje,53,154.16
naselje,54,274.52
naselje,55,273.61
naselje,56,712.43
naselje,57,866.26
naselje,58,747.35
naselje,59,2046.08
naselje,60,597.25
naselje,62,201.09
naselje,63,1105.12
naselje,64,1842.61
naselje,65,2422.17
naselje,66,80.71
naselje,67,1240.6
naselje,68,449.52
naselje,69,421.24
naselje,70,1023.78
naselje,71,473.08
naselje,72,1106.12
naselje,73,123.46
naselje,78,413.24
naselje,80,188.13
naselje,85,164.04
naselje,90,195.35
naselje,91,1295.82
naselje,92,1288.18
naselje,93,821.4
naselje,95,1457.25
naselje,103,189.45
naselje,105,864.93
naselje,106,1877.37
naselje,110,621.61
naselje,113,300.29
naselje,114,803.26
naselje,115,399.89
naselje,116,349.14
naselje,117,307.17
naselje,118,216.11
naselje,119,240.92
naselje,123,2937.55
naselje,124,2697.97
naselje,126,331.38
naselje,132,1092.66
naselje,133,77.8
naselje,134,1012.63
naselje,135,3116.45
naselje,136,1098.04
naselje,137,1229.53
naselje,138,472.71
naselje,139,53.93
naselje,140,75.18
naselje,141,19.67
naselje,142,127.74
naselje,143,1222.44
naselje,144,114.03
naselje,145,3428.51
naselje,146,98.47
naselje,147,142.86
naselje,148,1707.37
naselje,149,1580.54
naselje,150,127.21
naselje,151,68.51
naselje,152,676.57
naselje,153,607.3
naselje,154,641.4
naselje,155,697.56
naselje,156,24.69
naselje,157,6.83
naselje,158,1221.88
naselje,159,1402.65
naselje,160,171.99
naselje,161,245.65
naselje,162,99.77
naselje,164,244.56
naselje,165,232.96
naselje,166,32.22
naselje,175,1207.43
naselje,180,988.41
naselje,190,918.62
naselje,193,327.58
naselje,200,1143.95
naselje,211,96.92
naselje,217,1404.33
naselje,227,1570.8
naselje,243,327.8
naselje,245,795.76
naselje,247,612.97
naselje,249,362.75
naselje,266,203.02
naselje,270,2345.92
naselje,271,97.45
naselje,272,877.24
naselje,273,1970.39
naselje,277,362.22
naselje,278,1117.51
naselje,279,1182.32
naselje,283,1539.51
naselje,312,892.12
naselje,313,548.74
naselje,314,276.76
naselje,315,833.58
naselje,316,115.57
naselje,323,3657.62
naselje,325,1995.6
naselje,377,277.62
naselje,378,120.27
naselje,379,311.6
naselje,380,587.77
naselje,388,983.92
naselje,393,53.36
naselje,394,748.69
naselje,395,839.91
naselje,459,125.25
naselje,461,1349.17
naselje,463,268.26
naselje,467,179.7
naselje,472,367.21
naselje,473,860.17
naselje,474,776.46
naselje,475,673.02
naselje,476,842.21
naselje,477,300.76
naselje,478,794.8
naselje,479,512.04
naselje,481,404.62
naselje,482,605.26
naselje,484,1450.19
naselje,486,572.02
naselje,490,192.72
naselje,492,208.73
naselje,493,204.79
naselje,494,169.97
naselje,495,260.91
naselje,496,249.65
naselje,497,160.83
naselje,500,171.42
naselje,513,232.44
naselje,514,343.07
