varijabla,k_bez,min_exp_bez,lt5_bez,pct_lt5_bez,a_ok_bez,b_ok_bez,k_grp,min_exp_grp,lt5_grp,pct_lt5_grp,a_ok_grp,b_ok_grp
aspect_cat4,4,13.839,0,0.0,True,True,4,13.839,0,0.0,True,True
aspect_ew,2,29.264,0,0.0,True,True,2,29.264,0,0.0,True,True
aspect_sn,2,28.72,0,0.0,True,True,2,28.72,0,0.0,True,True
vtt_r100,12,0.003,8,66.7,False,False,5,3.737,1,20.0,True,True
vtt_r250,12,0.003,8,66.7,False,False,5,3.737,1,20.0,True,True
vtt_r500,12,0.003,8,66.7,False,False,5,3.737,1,20.0,True,True
vtt_r1000,12,0.003,8,66.7,False,False,5,3.737,1,20.0,True,True
sm_r100,2,116.603,0,0.0,True,True,2,116.603,0,0.0,True,True
sm_r250,2,116.603,0,0.0,True,True,2,116.603,0,0.0,True,True
sm_r500,2,116.603,0,0.0,True,True,2,116.603,0,0.0,True,True
sm_r1000,2,116.603,0,0.0,True,True,2,116.603,0,0.0,True,True
