fid,x,y
1,622410.5169741061,5007005.114070707
2,564278.3436127405,5019085.8243013695
3,699997.0392236535,5046317.31245177
4,624697.3014478434,5002776.360217714
5,673598.668786787,5069755.533577974
6,648993.1861960511,5055552.206368725
7,695341.6158757999,4994857.239442988
8,626248.3239275541,5040317.544863911
9,578050.3763126663,5067434.211599669
11,683146.0045691538,5046148.0806231005
12,620454.1457552175,5004191.286633836
14,645770.127929232,5009799.910171394
15,680664.5298822337,5018957.462592116
16,680470.8077782779,5019086.934456721
17,680587.5128566643,5018970.923225414
18,680885.0344833708,5018805.5100822095
19,647336.1406062712,5011585.05985797
20,700710.4657898147,5024992.683239081
21,631109.2777810529,5004442.320506375
22,649632.3802876922,5030738.926872395
23,622054.797879984,5004449.879947072
25,647632.3576912857,5029350.610627241
26,716956.2844079967,5008707.549925018
27,696535.8310293175,5026018.674888606
28,644293.2880169378,5014519.213043709
29,677992.052862715,5016345.973628577
30,645886.5254110867,5019039.147456781
31,566006.733934903,5077882.803272121
32,567539.6100457815,5075524.05270778
33,603785.319594655,5023330.880829151
34,591430.131064054,5022835.484154432
35,602537.7901536416,5033107.196285401
36,691391.1530136593,5046332.754193451
37,616315.6504089965,5012199.97247094
38,616640.2864917954,5013155.33146753
39,662293.06339168,5071995.338275187
40,662036.4487970475,5074815.914474818
41,663512.1835039322,5075579.686571133
42,662457.6097779479,5075145.155400364
43,633508.9572297798,5002922.842290056
44,611781.2476237456,5022527.608804429
45,584000.2519687278,5076775.774630553
48,664263.747499355,5070427.705902266
49,588552.1769913902,5035341.479954756
50,608811.4014905033,5031996.026887295
51,585350.142114789,5076255.629941116
52,667649.1166632175,5049740.265142304
53,579455.6741818594,5068552.076885888
54,579600.5042123917,5069706.694073744
55,625521.4691705009,5029107.504770476
56,646060.8458602505,5024291.594983391
57,598938.3932895442,4996096.795157171
58,612323.2905253378,5004486.470695362
59,574690.6780215236,5058006.258657794
60,695131.8085442265,5026910.272300157
62,671368.9344331034,4997488.843636742
63,672254.9402885608,4998715.406199873
64,688569.0766960653,5002698.137922286
65,669445.0295502137,5047207.10331543
66,685757.8736064424,5010125.339463315
67,660626.1853385288,5042369.097054738
68,568768.7279460101,5015127.69552458
69,646971.9342588712,5021690.555710114
70,589421.0153377597,5009526.204046614
71,596251.0553297838,5022917.294902239
72,661437.6275199808,5018085.041040017
73,689944.2900585595,5025526.387005542
78,685055.3830019523,5035756.402838606
80,692145.2857722434,5023185.454036688
85,709721.7369558051,5012531.810572007
90,690529.5867708243,5021627.6671104785
91,694055.8602975586,5021418.594246544
92,691448.4420327,5019122.787766153
93,692346.6563430409,5020106.229231221
95,693361.3921539821,5021144.935179431
103,706662.3960397363,5018972.13019574
105,703966.8358289399,5013772.094574877
106,707423.5140072606,5006841.757741198
110,697795.6273574805,5025450.435213916
113,665114.0109342247,5040876.955231632
114,640668.4659454561,5026512.1846376415
115,644722.0824920494,5024379.841176658
116,650332.9693590968,5023894.22565569
117,655039.8678013693,5023524.587231736
118,654836.4693638695,5023140.114575487
119,655555.8053013686,5023269.098950487
123,652731.8889809441,5028531.415700097
124,648349.0864929113,5029477.451536061
126,661182.8922504546,5071795.77108644
132,693925.9327578881,5026709.114161534
133,632272.9621002846,5020737.605469149
134,680270.4834858143,5038318.95606687
135,662556.6139948907,5022214.782608029
136,668045.2841106,5017466.851480272
137,663269.8700197904,5025749.239928484
138,669343.3150214899,5026526.73683523
139,657793.2650793092,5029443.503022949
140,657777.7778252151,5029877.146137585
141,658831.7715066194,5030884.678056707
142,659794.8350895974,5032452.644022055
143,638996.4949987362,5033126.189776242
144,643516.7268429911,5064605.826237569
145,662337.1223572285,5021992.861173641
146,672751.6992091475,5029362.73267779
147,672843.5426201,5029297.511618593
148,681128.0184589749,5030525.795377722
149,680995.1895712384,5030645.665349582
150,673227.1294353751,5014597.262934603
151,673284.6346245782,5014644.239004656
152,685897.211585695,5015829.453478549
153,686021.9411510087,5015759.799305711
154,691391.1921664352,5011103.6110264575
155,691478.2598824822,5011229.656731665
156,688702.5401696557,5027083.2826045565
157,688817.9555141833,5027077.208112739
158,694871.1866100621,5020998.666634293
159,694795.7119999997,5020783.520000001
160,723190.9736696837,5013680.422617476
161,723302.3393529997,5013587.280409613
162,702608.6731690576,5000120.789241615
164,672116.3933665106,5007832.7118281005
165,727581.1860786827,5013444.782955752
166,662863.033809942,5031263.737836244
175,662995.5199014288,5047036.998394194
180,654053.8689979165,5045661.508722034
190,650889.4720000218,5017955.445840009
193,662278.4942463799,5016713.412978827
200,663284.6385171497,5026306.410895555
211,677206.7489338747,5036704.5358955925
217,618064.9809126039,5043194.046891127
227,617674.0269842074,5036073.193957892
243,632564.2038754052,5038601.413473858
245,635022.1619917424,5038626.18359441
247,637305.7765672696,5035078.340173774
249,672254.5661709608,5017431.479989415
266,708680.7058507281,5015912.53220485
270,661919.3654273299,5046415.194608947
271,662897.2139097112,5049045.8407751955
272,695680.9478152927,5002065.772726993
273,688639.2699989396,5002805.976757479
277,669467.7032879187,5033883.985359088
278,629331.7566095366,5038064.035237727
279,629433.2311200962,5038064.66551419
283,629872.5338148791,5038005.419526657
312,621207.3686833765,5002114.49591479
313,624557.7235230876,5000884.3039043555
314,619860.2155415504,5003898.637814098
315,619641.1557429753,5004733.601360508
316,675927.2462889295,5019694.9332673075
323,568933.0445417934,5070782.301160742
325,560351.762559997,5075637.269983147
377,653265.3304266434,5022367.609877343
378,654859.5529387287,5021773.198365208
379,653277.5920775018,5021632.2952117035
380,652143.4544191,5021897.303464074
388,654407.9359997635,5018752.6775357975
393,653051.7315568292,5017240.863746043
394,653706.5180149456,5017608.664814718
395,654763.293956121,5018003.38804622
459,666821.1520000004,5016754.591999991
461,650885.7834776336,5053350.462923462
463,643325.1355545766,5064980.0959618995
467,630684.9000737366,5063250.324723925
472,653893.1168345273,5037445.770486676
473,661619.3573411993,5070398.761026685
474,650110.7702298504,5061370.662245121
475,621116.8607137956,5042356.951878718
476,672732.957998387,5007788.462964788
477,617170.3572099882,5024367.768705737
478,618287.90426932,5024575.540508705
479,725601.3484642343,5013388.5945419045
481,701122.2935340743,5024133.491228661
482,701362.7783443104,5023885.933335771
484,701956.9172872463,5022824.970937671
486,702935.213031827,5021707.865946004
490,704795.1022190803,5020043.70221782
492,705799.4799559483,5019550.354702704
493,705993.9897289332,5019442.490192231
494,706220.3283738614,5019315.174704459
495,706457.2766427705,5019030.483127635
496,707044.3425030521,5018588.415461762
497,707684.4564832392,5018156.957419868
500,708911.636323708,5017523.916522335
513,700600.225007719,5024929.961623979
514,700481.6582927736,5025187.664753559
515,680385.3643797336,5019232.547990462
516,681167.5851330935,5018316.605939235
517,679991.1255423407,5018925.592696657
520,716807.5487996122,5014645.358197439
521,676474.5651076738,5073779.789346909
522,677069.9114787563,5074230.591574412
523,677776.7492591557,5074748.647461878
524,642950.6723480263,5009445.087758599
525,643837.7979785656,5013066.398184653
526,703320.6430382456,5020928.750587126
527,626122.2895798937,5029148.405578566
528,677840.075600291,5075090.49177636
529,678563.0281595584,5075467.122955605
530,625366.2830050911,5029559.225214199
531,632925.1824374103,5038265.185395385
532,633665.1482098887,5038605.292074044
533,627104.158442362,5039735.663664945
534,626261.1582091637,5040288.478620705
535,626381.19627714,5040100.819706174
536,625247.885326549,5042486.943502061
537,700380.8955523073,4994314.958701375
538,702634.0634994056,4995058.5517440885
539,600907.104218005,5009166.49263479
540,672706.2844418777,5074393.002618766
541,673693.318209179,5074455.365168867
542,673840.7601382412,5074183.232078801
543,674269.6014163196,5074621.65901929
544,674040.9733440466,5074761.250774373
545,673760.8241514657,5075076.92118555
546,674320.2662807184,5074239.808756628
547,624525.6768085636,5012288.699499108
548,652170.6040418965,5000299.326685117
549,647377.4716351427,5022142.647791402
550,567193.1372133992,5076067.662267948
551,658888.6837694271,5054965.772447144
552,709891.7542998813,5017175.543064286
553,711324.3235287268,5016582.878432217
554,676448.9813832706,5011659.692003891
555,654362.5700221278,5050839.702527824
556,615902.0783365259,5024960.705521495
557,631037.5115186019,5035750.065885558
558,656167.8424929356,4995660.001865182
559,650315.4246983745,5054723.171301428
560,589379.2201766894,5053955.77098553
561,686860.0409772424,5024822.836536314
562,654055.9004352557,5045653.066503103
563,624826.6971243583,5030226.954914943
566,694042.4266894325,5007085.7658152105
567,681407.6423981108,5016952.963147163
568,679938.2977017709,5018614.404750997
569,681039.2556630981,5018395.533188371
570,681641.6789130182,5019693.380722606
571,681506.3996394794,5018018.392384248
572,669945.9698477155,5015579.8982578255
573,692531.0760765679,5002280.002549326
574,668174.9964972117,5016382.975316549
575,682095.5632342494,5024689.9354360895
576,675093.9032980507,5018169.048708149
577,676686.0327175518,5026633.978375741
578,670348.8574801633,5018908.541756275
579,686367.332891277,5024608.370588449
580,699941.8390251052,5003414.67315711
581,695818.890236746,5011820.011899203
582,678956.0790891468,5019209.374195517
583,625452.6648013016,5047152.696078872
584,615544.939327867,5023125.840163017
585,623305.7572511574,5025259.933407148
586,616507.8867883871,5013950.941137246
587,607744.8505100356,5022220.452725045
588,656453.2936141657,5053175.404051449
589,617345.2167414656,5011675.689534497
590,583843.2224288322,5037295.682449548
591,695598.3229932656,5046373.30410097
592,623977.3531838481,5068817.696798705
593,580139.243092434,5074703.028132227
594,579854.7752290176,5028124.610065911
595,665304.4848238081,5031965.825032227
596,631111.8788792731,5010130.4899111735
