model,varijabla,beta,OR,SE,z,p_value,sig
Full,intercept,0.7692,2.1581,0.1915,4.018,5.9e-05,***
Full,Calcisols,-29.4243,0.0,1246159.1216,-0.0,0.999981,
Full,Chernozems,-69.9476,0.0,452974183984058.44,-0.0,1.0,
Full,Fluvisols,-2.8915,0.0555,0.4659,-6.206,0.0,***
Full,Gleysols,-1.1216,0.3258,0.2668,-4.203,2.6e-05,***
Full,Luvisols,-0.4097,0.6639,0.2523,-1.624,0.104403,
Full,Nepoznato,-75.0601,0.0,5164437014342907.0,-0.0,1.0,
Full,aps_vis_z,-0.2891,0.7489,0.1163,-2.487,0.012881,*
Full,dist_rijeka_korig_z,-0.4459,0.6402,0.0987,-4.517,6e-06,***
Soil,intercept,0.5798,1.7857,0.1669,3.474,0.000513,***
Soil,Calcisols,-29.5056,0.0,1910526.3545,-0.0,0.999988,
Soil,Chernozems,-82.462,0.0,2.6977709477068186e+17,-0.0,1.0,
Soil,Fluvisols,-2.3716,0.0933,0.441,-5.377,0.0,***
Soil,Gleysols,-0.8055,0.4469,0.225,-3.58,0.000343,***
Soil,Luvisols,-0.2921,0.7467,0.2332,-1.253,0.210263,
Soil,Nepoznato,-82.462,0.0,2.6977709477068186e+17,-0.0,1.0,
