varijabla,p_full,p_bonf_full,eff_full,bonf_full,p_thin,p_bonf_thin,eff_thin,bonf_thin,preserved,lost,gained
aps_vis,0.0006641792185179,0.0172686596814655,0.3879629629629627,True,0.006884497778034284,0.1789969422288914,0.40155524354681915,False,False,True,False
rel_vis_100_250,0.0002999016020047,0.0077974416521245,0.3715488215488215,True,0.003483533390188109,0.09057186814489084,0.37585052381466677,False,False,True,False
rel_vis_100_500,0.0003873171775598,0.0100702466165549,0.3718434343434346,True,0.0012932297359025083,0.03362397313346522,0.3642401987255642,True,True,False,False
rel_vis_100_1000,0.0110597581728354,0.2875537124937227,0.3930555555555554,False,0.011265958893318639,0.2929149312262846,0.375904525326709,False,False,False,False
rel_vis_200_500,0.0079888673558751,0.2077105512527526,0.3827441077441075,False,0.0036350641251747997,0.0945116672545448,0.3694783453936709,False,False,False,False
rel_vis_200_1000,0.1382570439767684,1.0,0.4167929292929291,False,0.030230697655858983,0.7859981390523335,0.3918889728912409,False,False,False,False
rel_vis_500_1000,0.5302463104032065,1.0,0.4502946127946127,False,0.20432417614657672,1.0,0.42472189221298184,False,False,False,False
aspect_cat4,0.0800490396989211,1.0,0.3355916465687923,False,0.2434508963741718,1.0,0.2888698564615383,False,False,False,False
aspect_ew,0.0291368835319729,0.7575589718312974,0.2816471649436182,False,0.12003613237084511,1.0,0.21985674495928836,False,False,False,False
aspect_sn,0.5032043854135051,1.0,0.0864264493823603,False,0.6397492295046074,1.0,0.06619218758430007,False,False,False,False
nagib,0.7740437742925704,1.0,0.4529461279461281,False,0.9956981508032745,1.0,0.46851711847931743,False,False,False,False
coarse_fragments,0.0157805513858648,0.4102943360324861,0.3720538720538721,False,0.05990949152761404,1.0,0.3951830651258236,False,False,False,False
vtt_r100,0.2184714115424729,1.0,0.1271762253015971,False,0.349727721499007,1.0,0.11603168625633205,False,False,False,False
vtt_r250,0.2287747572745647,1.0,0.1255863245024786,False,0.368428615484474,1.0,0.11370057283257641,False,False,False,False
vtt_r500,0.0918438727846139,1.0,0.153372369404413,False,0.23025892130295364,1.0,0.13284441870507477,False,False,False,False
vtt_r1000,0.0460798619657683,1.0,0.1708363341841955,False,0.14632933790396135,1.0,0.14841621274236497,False,False,False,False
sm_r100,0.1454100051447815,1.0,0.0879563775982791,False,0.23206279672785293,1.0,0.0765060066416007,False,False,False,False
sm_r250,0.1901320432088729,1.0,0.0791513876304046,False,0.2975574237085614,1.0,0.0666870930761426,False,False,False,False
sm_r500,0.2194857958389664,1.0,0.0741799448582529,False,0.2694812440490993,1.0,0.07069287334026181,False,False,False,False
sm_r1000,0.3974415110797155,1.0,0.0511207758887143,False,0.6238013140882399,1.0,0.03139912781788687,False,False,False,False
dist_rijeka,0.2597736114474235,1.0,0.40513468013468,False,0.8272616261375921,1.0,0.45177664974619286,False,False,False,False
dist_rijeka_korig,0.3785000754501484,1.0,0.5199494949494947,False,0.6477481504548347,1.0,0.5164704611729128,False,False,False,False
gustoca_rijeka_1000,0.1480267908074556,1.0,0.5790404040404042,False,0.6777400179214885,1.0,0.5402851279835834,False,False,False,False
gustoca_rijeka_2000,0.0245524916780899,0.6383647836303394,0.6194444444444442,False,0.04760874218907424,1.0,0.5822443028404795,False,False,False,False
strahler,0.7995570303798083,1.0,-0.0121212121212116,False,0.6222275982697965,1.0,-0.06782589912517567,False,False,False,False
tri,0.0128578891070422,0.3343051167830977,0.3964646464646464,False,0.015594171491574368,0.4054484587809336,0.4028512798358353,False,False,False,False
