,aps_vis,rel_vis_100_250,rel_vis_100_500,rel_vis_100_1000,rel_vis_200_500,rel_vis_200_1000,rel_vis_500_1000,nagib,coarse_fragments,tri,dist_rijeka,dist_rijeka_korig,gustoca_rijeka_1000,gustoca_rijeka_2000,strahler,aspect_cat4,aspect_ew,aspect_sn,vtt_r100,vtt_r250,vtt_r500,vtt_r1000,sm_r100,sm_r250,sm_r500,sm_r1000
aps_vis,1.000,0.221,0.234,0.265,0.236,0.226,0.108,0.468,0.390,0.460,0.270,0.205,0.240,0.267,0.291,0.189,0.006,0.149,0.444,0.447,0.458,0.470,0.382,0.391,0.393,0.406
rel_vis_100_250,0.221,1.000,0.872,0.662,0.667,0.473,0.133,0.175,0.001,0.229,0.040,0.003,0.008,0.010,0.047,0.205,0.040,0.192,0.134,0.116,0.079,0.093,0.097,0.075,0.024,0.054
rel_vis_100_500,0.234,0.872,1.000,0.858,0.912,0.732,0.363,0.175,0.005,0.197,0.101,0.090,0.054,0.016,0.052,0.121,0.070,0.099,0.081,0.057,0.027,0.037,0.065,0.043,0.008,0.024
rel_vis_100_1000,0.265,0.662,0.858,1.000,0.877,0.943,0.683,0.197,0.002,0.207,0.153,0.169,0.125,0.035,0.022,0.064,0.052,0.040,0.051,0.024,0.062,0.048,0.018,0.003,0.026,0.024
rel_vis_200_500,0.236,0.667,0.912,0.877,1.000,0.844,0.473,0.177,0.019,0.162,0.149,0.159,0.099,0.042,0.034,0.096,0.092,0.031,0.050,0.026,0.045,0.033,0.043,0.024,0.001,0.008
rel_vis_200_1000,0.226,0.473,0.732,0.943,0.844,1.000,0.795,0.163,0.001,0.143,0.177,0.213,0.147,0.034,0.021,0.061,0.058,0.010,0.056,0.053,0.089,0.077,0.004,0.022,0.035,0.041
rel_vis_500_1000,0.108,0.133,0.363,0.683,0.473,0.795,1.000,0.096,0.009,0.049,0.171,0.216,0.165,0.006,0.010,0.048,0.011,0.040,0.094,0.097,0.111,0.109,0.043,0.055,0.055,0.070
nagib,0.468,0.175,0.175,0.197,0.177,0.163,0.096,1.000,0.203,0.705,0.049,0.017,0.047,0.100,0.073,0.211,0.077,0.200,0.324,0.319,0.331,0.345,0.230,0.227,0.204,0.240
coarse_fragments,0.390,0.001,0.005,0.002,0.019,0.001,0.009,0.203,1.000,0.170,0.163,0.089,0.115,0.123,0.154,0.180,0.021,0.092,0.142,0.137,0.165,0.202,0.126,0.136,0.163,0.197
tri,0.460,0.229,0.197,0.207,0.162,0.143,0.049,0.705,0.170,1.000,0.020,0.011,0.045,0.089,0.064,0.204,0.039,0.194,0.367,0.368,0.383,0.393,0.269,0.263,0.236,0.274
