source,cluster_id,threshold,area_km2,prob_max,prob_mean,centroid_x,centroid_y,dist_to_known_m,n_known_inside,score_size,score_discovery,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,pred_prob_mean_feat,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,1,0.85,0.025,0.9425,0.8828,557748.75,5098390.62,22108.03,0,0.022069,9.428172,Luvisols,5.626,256.4,1,123.6,0.845,0.04227,0.19579,0.07138,0.00654,0.03032
thr85_all,2,0.85,0.01,0.8978,0.8876,558707.81,5096553.12,20046.33,0,0.008876,8.893051,Cambisols,0.79,179.5,3,109.5,0.8844,0.12195,0.07332,0.12597,0.03224,0.03221
thr85_all,3,0.85,0.0106,0.903,0.8803,557065.44,5096402.21,20564.9,0,0.009353,8.968243,Luvisols,6.313,300.3,3,125.2,0.8938,0.04136,0.20315,0.07644,0.03229,0.04178
thr85_all,4,0.85,0.0112,0.9275,0.9052,556690.28,5096206.94,20556.52,0,0.010184,9.211024,Luvisols,7.271,245.5,3,125.1,0.9143,0.03463,0.2202,0.08364,0.0315,0.04559
thr85_all,5,0.85,0.0338,0.9313,0.9006,557438.43,5095569.91,19653.23,0,0.030394,9.20642,Luvisols,7.22,244.3,3,125.6,0.913,0.03586,0.21807,0.08374,0.03165,0.04499
thr85_all,6,0.85,0.0494,0.9481,0.8875,582397.31,5089403.96,12729.51,0,0.043819,8.961585,Cambisols,7.187,141.4,6,117.2,0.9245,0.0805,0.22111,0.10189,-0.05895,0.08118
thr85_all,7,0.85,0.0156,0.9256,0.8912,583044.5,5089203.5,12464.42,0,0.013925,8.729436,Cambisols,6.149,128.3,6,113.0,0.8926,0.0885,0.19789,0.10082,-0.0667,0.07335
thr85_all,8,0.85,0.0338,0.9345,0.893,580716.2,5089154.17,12806.62,0,0.030139,8.838048,Cambisols,5.898,143.0,6,114.0,0.9209,0.09413,0.20553,0.10999,-0.06581,0.07838
thr85_all,9,0.85,0.01,0.9208,0.8961,579528.12,5089114.06,13123.77,0,0.008961,8.731416,Cambisols,6.071,241.5,6,110.1,0.9077,0.08951,0.21634,0.09057,-0.06621,0.07878
thr85_all,10,0.85,0.0131,0.8789,0.8619,582682.74,5088904.17,12199.74,0,0.011312,8.270046,Cambisols,1.007,173.2,1,102.4,0.8525,0.12902,0.06737,0.128,0.01806,0.01133
thr85_all,11,0.85,0.0938,0.9546,0.8898,583537.67,5088263.0,11496.54,0,0.083416,8.925599,Cambisols,3.11,203.1,1,109.9,0.9138,0.1147,0.09332,0.13625,0.01381,0.05702
thr85_all,12,0.85,0.0306,0.8727,0.8615,564013.52,5084810.46,7208.7,0,0.026385,7.752413,Luvisols,8.13,831.0,1,133.1,0.8677,0.052,0.24294,0.03548,0.00637,0.03219
thr85_all,13,0.85,0.01,0.8673,0.8578,564178.12,5084242.19,6617.07,0,0.008578,7.629953,Luvisols,6.801,922.7,2,133.9,0.8544,0.07491,0.2298,-0.00187,0.01984,0.03298
thr85_all,14,0.85,0.0175,0.8734,0.8558,671855.36,5084096.43,9218.59,0,0.014976,7.973013,Cambisols,-0.153,118.4,3,83.0,0.8343,0.16963,-0.03878,0.11762,0.05222,0.03491
thr85_all,15,0.85,0.0581,0.9217,0.8767,671622.18,5083691.8,8876.37,0,0.050957,8.379554,Cambisols,0.258,120.6,3,84.8,0.8629,0.16147,-0.02516,0.12489,0.04915,0.05377
thr85_all,16,0.85,0.035,0.8799,0.8632,671878.57,5083663.39,8790.36,0,0.030212,7.991137,Cambisols,-0.476,101.6,3,83.2,0.8756,0.18012,-0.02812,0.13667,0.0501,0.03807
