elev_m,n_piksela,postotak
63.08,8,3.9e-05
67.78,79,0.000387
72.47,90,0.000441
77.16,90998,0.445615
81.85,1189349,5.824219
86.54,2865442,14.032015
91.24,2913812,14.268882
95.93,1876640,9.18987
100.62,1028598,5.037025
105.31,1058918,5.185501
110.01,1065562,5.218037
114.7,689826,3.378065
119.39,403935,1.978062
124.08,300967,1.47383
128.78,243721,1.193497
133.47,223555,1.094745
138.16,191632,0.938418
142.85,174346,0.853769
147.55,179616,0.879576
152.24,181291,0.887779
156.93,184375,0.902881
161.62,187646,0.918899
166.32,197230,0.965832
171.01,194179,0.950891
175.7,198424,0.971679
180.39,190320,0.931993
185.08,191819,0.939334
189.78,187700,0.919163
194.47,181689,0.889728
199.16,179480,0.87891
203.85,172723,0.845821
208.55,166613,0.815901
213.24,156104,0.764438
217.93,145734,0.713657
222.62,133453,0.653517
227.32,125788,0.615981
232.01,118019,0.577937
236.7,105569,0.516969
241.39,97342,0.476682
246.09,90043,0.440939
250.78,81169,0.397483
255.47,72453,0.354801
260.16,66618,0.326227
264.86,59524,0.291488
269.55,54503,0.2669
274.24,51028,0.249883
278.93,47736,0.233762
283.62,44496,0.217896
288.32,43151,0.21131
293.01,41522,0.203332
297.7,40034,0.196046
302.39,37826,0.185233
307.09,36711,0.179773
311.78,36127,0.176913
316.47,35946,0.176027
321.16,34968,0.171238
325.86,34712,0.169984
330.55,34040,0.166693
335.24,32996,0.161581
339.93,31661,0.155043
344.63,30988,0.151748
349.32,30632,0.150004
354.01,30378,0.14876
358.7,29868,0.146263
363.4,29699,0.145435
368.09,28857,0.141312
372.78,28388,0.139015
377.47,27695,0.135622
382.16,26860,0.131533
386.86,26636,0.130436
391.55,25864,0.126656
396.24,25554,0.125137
400.93,25615,0.125436
405.63,25027,0.122557
410.32,25350,0.124138
415.01,24495,0.119952
419.7,24274,0.118869
424.4,24314,0.119065
429.09,24032,0.117684
433.78,23941,0.117239
438.47,23656,0.115843
443.17,22984,0.112552
447.86,22759,0.11145
452.55,22592,0.110633
457.24,22318,0.109291
461.94,21618,0.105863
466.63,21226,0.103943
471.32,20738,0.101554
476.01,20225,0.099041
480.7,20381,0.099805
485.4,20316,0.099487
490.09,20123,0.098542
494.78,20188,0.09886
499.47,19862,0.097264
504.17,19438,0.095188
508.86,18844,0.092279
513.55,18421,0.090207
518.24,18293,0.08958
522.94,18265,0.089443
527.63,17703,0.086691
532.32,17033,0.08341
537.01,16984,0.08317
541.71,16900,0.082759
546.4,16566,0.081123
551.09,16531,0.080952
555.78,16790,0.08222
560.48,16434,0.080477
565.17,16213,0.079395
569.86,16811,0.082323
574.55,16385,0.080237
579.24,15926,0.077989
583.94,15810,0.077421
588.63,15773,0.07724
593.32,15563,0.076212
598.01,14678,0.071878
602.71,13789,0.067524
607.4,13427,0.065752
612.09,13041,0.063862
616.78,13237,0.064821
621.48,12730,0.062339
626.17,12678,0.062084
630.86,11910,0.058323
635.55,11673,0.057162
640.25,11373,0.055693
644.94,11179,0.054743
649.63,11192,0.054807
654.32,10837,0.053069
659.02,10612,0.051967
663.71,10348,0.050674
668.4,9824,0.048108
673.09,9463,0.04634
677.78,9185,0.044979
682.48,8675,0.042481
687.17,8562,0.041928
691.86,8527,0.041757
696.55,8264,0.040469
701.25,7924,0.038804
705.94,7808,0.038236
710.63,7525,0.03685
715.32,7518,0.036816
720.02,7514,0.036796
724.71,7064,0.034592
729.4,6700,0.03281
734.09,6341,0.031052
738.79,6224,0.030479
743.48,6298,0.030841
748.17,6224,0.030479
752.86,6176,0.030244
757.56,6125,0.029994
762.25,6323,0.030964
766.94,6264,0.030675
771.63,5886,0.028824
776.32,5559,0.027222
781.02,5525,0.027056
785.71,5294,0.025925
790.4,4844,0.023721
795.09,4735,0.023187
799.79,4541,0.022237
804.48,4276,0.020939
809.17,4263,0.020876
813.86,3901,0.019103
818.56,3653,0.017889
823.25,3524,0.017257
827.94,3353,0.01642
832.63,3204,0.01569
837.33,2901,0.014206
842.02,2685,0.013148
846.71,2589,0.012678
851.4,2380,0.011655
856.1,2109,0.010328
860.79,1862,0.009118
865.48,1730,0.008472
870.17,1610,0.007884
874.86,1447,0.007086
879.56,1363,0.006675
884.25,1063,0.005205
888.94,916,0.004486
893.63,827,0.00405
898.33,794,0.003888
903.02,836,0.004094
907.71,749,0.003668
912.4,710,0.003477
917.1,587,0.002875
921.79,557,0.002728
926.48,501,0.002453
931.17,477,0.002336
935.87,519,0.002542
940.56,464,0.002272
945.25,458,0.002243
949.94,363,0.001778
954.64,346,0.001694
959.33,364,0.001783
964.02,304,0.001489
968.71,269,0.001317
973.4,233,0.001141
978.1,214,0.001048
982.79,253,0.001239
987.48,225,0.001102
992.17,213,0.001043
996.87,45,0.00022
