tri_value,n_piksela,postotak
0.223,723976,3.553098
0.668,4307614,21.14072
1.114,4196199,20.593922
1.56,2128304,10.445197
2.005,1122350,5.50822
2.451,727552,3.570648
2.896,538692,2.643769
3.342,433137,2.125731
3.788,369392,1.812886
4.233,328011,1.609798
4.679,300857,1.476533
5.124,280821,1.378201
5.57,267531,1.312977
6.015,257529,1.26389
6.461,249278,1.223396
6.907,240447,1.180055
7.352,231551,1.136396
7.798,222274,1.090867
8.243,213170,1.046186
8.689,202895,0.995759
9.135,193827,0.951256
9.58,183324,0.89971
10.026,174179,0.854828
10.471,163950,0.804627
10.917,154348,0.757502
11.363,145133,0.712277
11.808,136916,0.67195
12.254,127560,0.626033
12.699,119325,0.585618
13.145,111247,0.545973
13.59,103775,0.509302
14.036,96772,0.474933
14.482,89824,0.440834
14.927,84456,0.414489
15.373,78231,0.383939
15.818,73407,0.360264
16.264,68093,0.334184
16.71,63529,0.311785
17.155,59248,0.290775
17.601,55824,0.273971
18.046,51836,0.254398
18.492,48441,0.237737
18.938,45422,0.22292
19.383,42292,0.207559
19.829,38867,0.19075
20.274,36632,0.179781
20.72,34171,0.167703
21.165,31879,0.156454
21.611,30027,0.147365
22.057,28044,0.137633
22.502,26665,0.130865
22.948,24511,0.120294
23.393,22896,0.112368
23.839,21181,0.103951
24.285,20044,0.098371
24.73,18808,0.092305
25.176,17352,0.085159
25.621,16306,0.080026
26.067,15224,0.074716
26.513,14090,0.06915
26.958,13236,0.064959
27.404,11921,0.058505
27.849,11485,0.056366
28.295,10495,0.051507
28.741,9652,0.04737
29.186,8964,0.043993
29.632,8257,0.040523
30.077,7656,0.037574
30.523,6949,0.034104
30.968,6469,0.031748
31.414,6114,0.030006
31.86,5686,0.027906
32.305,5110,0.025079
32.751,4780,0.023459
33.196,4277,0.02099
33.642,3876,0.019022
34.088,3625,0.017791
34.533,3424,0.016804
34.979,3016,0.014802
35.424,2757,0.013531
35.87,2593,0.012726
36.316,2327,0.01142
36.761,2225,0.01092
37.207,1945,0.009546
37.652,1831,0.008986
38.098,1635,0.008024
38.543,1409,0.006915
38.989,1416,0.006949
39.435,1297,0.006365
39.88,1105,0.005423
40.326,1005,0.004932
40.771,972,0.00477
41.217,850,0.004172
41.663,817,0.00401
42.108,700,0.003435
42.554,609,0.002989
42.999,548,0.002689
43.445,493,0.00242
43.891,455,0.002233
44.336,421,0.002066
44.782,394,0.001934
45.227,350,0.001718
45.673,337,0.001654
46.118,252,0.001237
46.564,295,0.001448
47.01,234,0.001148
47.455,226,0.001109
47.901,195,0.000957
48.346,186,0.000913
48.792,169,0.000829
49.238,141,0.000692
49.683,114,0.000559
50.129,108,0.00053
50.574,107,0.000525
51.02,97,0.000476
51.466,84,0.000412
51.911,80,0.000393
52.357,75,0.000368
52.802,67,0.000329
53.248,67,0.000329
53.694,71,0.000348
54.139,57,0.00028
54.585,56,0.000275
55.03,52,0.000255
55.476,34,0.000167
55.921,33,0.000162
56.367,32,0.000157
56.813,36,0.000177
57.258,33,0.000162
57.704,23,0.000113
58.149,24,0.000118
58.595,18,8.8e-05
59.041,22,0.000108
59.486,13,6.4e-05
59.932,19,9.3e-05
60.377,15,7.4e-05
60.823,5,2.5e-05
61.269,15,7.4e-05
61.714,10,4.9e-05
62.16,18,8.8e-05
62.605,12,5.9e-05
63.051,9,4.4e-05
63.496,11,5.4e-05
63.942,10,4.9e-05
64.388,4,2e-05
64.833,5,2.5e-05
65.279,6,2.9e-05
65.724,2,1e-05
66.17,3,1.5e-05
66.616,2,1e-05
67.061,7,3.4e-05
67.507,4,2e-05
67.952,1,5e-06
68.398,2,1e-05
68.844,1,5e-06
69.289,2,1e-05
69.735,3,1.5e-05
70.18,2,1e-05
70.626,2,1e-05
71.071,1,5e-06
71.517,2,1e-05
71.963,1,5e-06
72.408,1,5e-06
72.854,2,1e-05
73.299,2,1e-05
73.745,2,1e-05
74.191,0,0.0
74.636,0,0.0
75.082,0,0.0
75.527,1,5e-06
75.973,1,5e-06
76.419,1,5e-06
76.864,2,1e-05
77.31,0,0.0
77.755,0,0.0
78.201,0,0.0
78.647,0,0.0
79.092,0,0.0
79.538,0,0.0
79.983,1,5e-06
80.429,0,0.0
80.874,1,5e-06
81.32,0,0.0
81.766,0,0.0
82.211,0,0.0
82.657,0,0.0
83.102,0,0.0
83.548,1,5e-06
83.994,0,0.0
84.439,0,0.0
84.885,0,0.0
85.33,0,0.0
85.776,0,0.0
86.222,0,0.0
86.667,0,0.0
87.113,0,0.0
87.558,0,0.0
88.004,0,0.0
88.449,0,0.0
88.895,1,5e-06
